#code        score   
2cet_108     -162.1871
2cet_123     -166.2332
2cet_125     -159.6142
2cet_188     -163.1199
2cet_313     -159.9789
2cet_326     -162.6061
2cet_359     -166.4082
2cet_378     -119.3842
2cet_406     -176.2710
2cet_418     -100.2105
2cet_419     -146.9641
2cet_421     -98.0369
2cet_430     -83.2131
2cet_435     -127.9873
2cet_436     -145.6817
2cet_452     -110.4978
2cet_457     -114.6555
2cet_458     -167.0187
2cet_466     -87.6262
2cet_469     -93.8368
2cet_474     -111.5331
2cet_478     -94.5466
2cet_481     -161.6172
2cet_518     -106.3503
2cet_522     -94.4002
2cet_524     -165.6584
2cet_528     -80.5087
2cet_529     -128.2125
2cet_533     -138.3251
2cet_540     -79.2433
2cet_548     -90.8214
2cet_550     -99.1556
2cet_552     -82.3126
2cet_554     -88.1737
2cet_556     -108.1371
2cet_560     -144.2170
2cet_561     -130.7403
2cet_564     -145.0241
2cet_566     -104.0648
2cet_567     -90.7659
2cet_568     -91.0830
2cet_569     -115.0379
2cet_570     -97.1068
2cet_578     -92.3432
2cet_580     -158.9286
2cet_581     -143.3563
2cet_585     -90.5472
2cet_588     -133.0876
2cet_589     -90.5008
2cet_591     -88.9607
2cet_592     -162.6319
2cet_593     -135.4485
2cet_594     -119.5483
2cet_595     -103.7958
2cet_599     -142.9188
2cet_643     -160.1751
2cet_656     -125.0352
2cet_662     -104.3238
2cet_665     -158.3864
2cet_668     -129.0174
2cet_669     -97.3605
2cet_672     -101.1936
2cet_673     -140.2172
2cet_676     -107.9129
2cet_679     -149.1302
2cet_682     -122.6865
2cet_689     -129.4345
2cet_699     -111.2015
2cet_722     -164.6413
2cet_725     -165.2457
2cet_734     -169.2319
2cet_741     -164.0879
2cet_742     -164.7948
2cet_745     -176.0866
2cet_756     -164.4646
2cet_761     -171.6415
2cet_765     -171.6364
2cet_768     -156.8633
2cet_776     -154.3212
2cet_777     -148.1530
2cet_855     -158.4658
2cet_857     -161.6432
2cet_875     -162.2004
2cet_ligand  -165.2277
