#code        score   
2xys_114     -147.8209
2xys_127     -145.0274
2xys_398     -143.8150
2xys_410     -139.3470
2xys_414     -142.3538
2xys_417     -147.6956
2xys_420     -143.0039
2xys_424     -140.5434
2xys_443     -135.0750
2xys_491     -155.7257
2xys_494     -126.3605
2xys_499     -130.4846
2xys_533     -138.7950
2xys_541     -143.3158
2xys_554     -134.0767
2xys_567     -132.9514
2xys_572     -141.7876
2xys_573     -134.3629
2xys_577     -137.1895
2xys_578     -115.4605
2xys_580     -125.4376
2xys_581     -139.7755
2xys_598     -131.9712
2xys_600     -130.0748
2xys_610     -113.8795
2xys_616     -122.9470
2xys_620     -133.5120
2xys_622     -136.3786
2xys_623     -125.4540
2xys_630     -135.3061
2xys_659     -158.8490
2xys_662     -149.2807
2xys_667     -134.5433
2xys_675     -125.5614
2xys_681     -142.9540
2xys_688     -135.2807
2xys_690     -130.6059
2xys_695     -130.0925
2xys_703     -144.9945
2xys_707     -147.8910
2xys_725     -142.6960
2xys_735     -162.2965
2xys_737     -139.9155
2xys_742     -137.5084
2xys_743     -139.0103
2xys_747     -144.3462
2xys_748     -95.5983
2xys_750     -142.9079
2xys_759     -158.4120
2xys_760     -158.7180
2xys_763     -151.0756
2xys_782     -149.9456
2xys_793     -138.4724
2xys_801     -140.5071
2xys_826     -147.7903
2xys_831     -149.4842
2xys_848     -159.5638
2xys_855     -153.8863
2xys_876     -148.7446
2xys_927     -135.6990
2xys_937     -147.4432
2xys_940     -152.6985
2xys_941     -156.0414
2xys_953     -146.8411
2xys_ligand  -145.1935
