#code        score   
3r88_131     -102.1782
3r88_201     -72.6073
3r88_213     -105.7426
3r88_220     -74.4298
3r88_229     -103.2982
3r88_234     -65.7941
3r88_241     -66.8879
3r88_254     -102.9978
3r88_255     -100.0014
3r88_263     -92.9595
3r88_270     -73.5924
3r88_278     -70.4826
3r88_279     -98.4730
3r88_291     -101.3594
3r88_300     -73.8424
3r88_371     -97.6665
3r88_377     -95.1438
3r88_405     -102.4225
3r88_434     -109.1196
3r88_439     -101.9533
3r88_440     -103.8827
3r88_452     -103.7004
3r88_454     -80.1026
3r88_463     -63.6112
3r88_468     -71.3033
3r88_470     -112.9169
3r88_471     -83.2303
3r88_495     -80.9209
3r88_500     -81.2595
3r88_507     -67.1900
3r88_510     -84.1897
3r88_513     -91.9174
3r88_517     -57.9061
3r88_524     -70.5086
3r88_527     -60.0168
3r88_533     -93.7031
3r88_537     -98.6453
3r88_545     -53.8679
3r88_551     -102.3283
3r88_553     -101.0446
3r88_555     -50.1440
3r88_561     -64.5728
3r88_566     -78.2187
3r88_571     -60.4047
3r88_577     -72.7283
3r88_582     -54.7397
3r88_589     -81.4361
3r88_591     -61.7241
3r88_594     -78.5373
3r88_596     -89.9255
3r88_599     -89.7893
3r88_613     -75.3347
3r88_617     -106.1298
3r88_628     -88.7437
3r88_632     -93.4019
3r88_634     -85.4581
3r88_638     -93.6470
3r88_656     -81.8255
3r88_657     -88.1476
3r88_672     -97.6083
3r88_695     -106.0375
3r88_696     -99.4419
3r88_699     -79.0232
3r88_713     -77.7984
3r88_718     -60.5206
3r88_725     -55.6574
3r88_736     -66.3408
3r88_741     -67.8828
3r88_753     -80.3456
3r88_763     -81.8012
3r88_769     -72.7305
3r88_773     -84.8058
3r88_780     -46.0985
3r88_784     -58.5056
3r88_787     -65.6748
3r88_792     -58.0920
3r88_795     -73.3726
3r88_798     -62.9645
3r88_799     -58.7162
3r88_802     -115.2214
3r88_833     -85.8911
3r88_861     -91.8799
3r88_880     -58.7432
3r88_883     -58.9562
3r88_924     -97.7503
3r88_931     -101.9981
3r88_986     -77.9407
3r88_994     -93.3382
3r88_995     -83.5014
3r88_ligand  -97.0529
