#code        score   
3rlr_100     -102.4508
3rlr_112     -130.4429
3rlr_12      -117.9523
3rlr_148     -89.3976
3rlr_167     -128.7522
3rlr_192     -115.5707
3rlr_197     -124.0289
3rlr_281     -139.2483
3rlr_335     -103.0625
3rlr_341     -121.8977
3rlr_347     -120.1756
3rlr_365     -112.6339
3rlr_397     -104.1197
3rlr_398     -120.8118
3rlr_410     -96.0824
3rlr_415     -136.4054
3rlr_418     -122.1346
3rlr_423     -134.8094
3rlr_428     -97.9380
3rlr_432     -94.5988
3rlr_439     -100.9226
3rlr_440     -131.2801
3rlr_444     -138.8313
3rlr_456     -126.6067
3rlr_457     -115.2492
3rlr_47      -124.1723
3rlr_477     -97.7987
3rlr_480     -104.6520
3rlr_482     -76.8810
3rlr_483     -138.7102
3rlr_488     -99.9009
3rlr_490     -127.1342
3rlr_498     -85.5035
3rlr_506     -145.0814
3rlr_524     -127.4798
3rlr_537     -109.9036
3rlr_539     -88.5717
3rlr_557     -127.2327
3rlr_560     -92.0405
3rlr_583     -88.2327
3rlr_586     -96.5772
3rlr_591     -113.0239
3rlr_595     -82.7831
3rlr_596     -101.6570
3rlr_598     -93.0228
3rlr_6       -86.6186
3rlr_617     -114.9127
3rlr_628     -106.7359
3rlr_632     -105.5841
3rlr_633     -97.3609
3rlr_634     -96.0652
3rlr_638     -107.6494
3rlr_640     -100.0186
3rlr_642     -142.2272
3rlr_650     -102.2858
3rlr_653     -105.4320
3rlr_655     -91.1104
3rlr_658     -85.9202
3rlr_660     -100.8417
3rlr_663     -110.9784
3rlr_667     -113.3121
3rlr_675     -101.8807
3rlr_68      -77.4721
3rlr_682     -83.3626
3rlr_685     -107.8670
3rlr_686     -81.8463
3rlr_762     -58.0168
3rlr_772     -82.7445
3rlr_778     -89.8409
3rlr_780     -80.8646
3rlr_904     -124.0798
3rlr_ligand  -119.8264
