#code        score   
3tsk_134     -206.9334
3tsk_176     -194.6432
3tsk_259     -226.1979
3tsk_263     -209.3746
3tsk_273     -213.6325
3tsk_285     -224.9447
3tsk_29      -154.7738
3tsk_294     -219.9674
3tsk_31      -172.6300
3tsk_337     -190.3251
3tsk_344     -196.3534
3tsk_358     -190.0522
3tsk_380     -171.6773
3tsk_381     -202.3470
3tsk_382     -208.2465
3tsk_40      -181.0849
3tsk_400     -192.2312
3tsk_402     -217.0424
3tsk_405     -220.2125
3tsk_422     -203.9511
3tsk_423     -192.9849
3tsk_426     -191.4018
3tsk_430     -184.6550
3tsk_433     -187.3667
3tsk_441     -161.5347
3tsk_443     -226.7102
3tsk_444     -212.5199
3tsk_455     -186.6706
3tsk_456     -243.5955
3tsk_458     -219.4036
3tsk_460     -174.0163
3tsk_461     -212.9203
3tsk_464     -203.9035
3tsk_465     -212.2861
3tsk_468     -205.7037
3tsk_475     -208.5201
3tsk_479     -212.6442
3tsk_487     -250.9365
3tsk_491     -159.6997
3tsk_495     -195.4361
3tsk_499     -208.4853
3tsk_500     -216.2833
3tsk_509     -186.4152
3tsk_512     -129.2871
3tsk_522     -107.6581
3tsk_527     -229.0294
3tsk_532     -210.9361
3tsk_541     -196.6816
3tsk_547     -174.0978
3tsk_552     -152.1796
3tsk_557     -86.8658
3tsk_561     -155.2063
3tsk_576     -192.3951
3tsk_580     -177.4697
3tsk_589     -98.4774
3tsk_594     -153.2161
3tsk_596     -148.5648
3tsk_598     -220.6035
3tsk_646     -180.3449
3tsk_655     -112.7306
3tsk_656     -143.0095
3tsk_668     -143.7093
3tsk_669     -117.6150
3tsk_674     -128.0254
3tsk_679     -195.3233
3tsk_696     -137.5839
3tsk_700     -91.0628
3tsk_702     -156.5650
3tsk_713     -202.6251
3tsk_721     -152.2902
3tsk_733     -115.6752
3tsk_767     -202.5343
3tsk_78      -163.8783
3tsk_784     -128.3645
3tsk_803     -161.4674
3tsk_847     -156.2523
3tsk_870     -219.1484
3tsk_93      -180.0474
3tsk_979     -144.3982
3tsk_980     -206.7048
3tsk_ligand  -189.7697
