#code        score   
4qd6_103     -97.2480
4qd6_160     -108.0794
4qd6_167     -103.9505
4qd6_187     -98.0548
4qd6_207     -117.1140
4qd6_219     -123.6806
4qd6_230     -129.9385
4qd6_265     -157.3114
4qd6_268     -97.9968
4qd6_276     -106.3740
4qd6_290     -121.9094
4qd6_294     -145.1477
4qd6_298     -83.8362
4qd6_302     -113.4261
4qd6_312     -99.6084
4qd6_339     -115.2902
4qd6_346     -97.7244
4qd6_347     -116.2718
4qd6_387     -96.9380
4qd6_390     -98.3261
4qd6_397     -91.1513
4qd6_408     -186.3860
4qd6_414     -185.9757
4qd6_428     -155.2465
4qd6_429     -137.2455
4qd6_44      -104.8819
4qd6_448     -105.8543
4qd6_449     -161.9283
4qd6_460     -159.6777
4qd6_465     -124.3673
4qd6_471     -157.4931
4qd6_473     -148.6449
4qd6_475     -152.3275
4qd6_490     -104.9638
4qd6_501     -168.4007
4qd6_507     -94.1153
4qd6_511     -142.5911
4qd6_516     -146.5313
4qd6_518     -112.7512
4qd6_519     -94.6596
4qd6_520     -103.2794
4qd6_528     -120.0191
4qd6_529     -50.3556
4qd6_540     -52.2622
4qd6_547     -129.6985
4qd6_568     -80.2028
4qd6_573     -105.4936
4qd6_574     -94.8050
4qd6_578     -112.1732
4qd6_58      -118.2044
4qd6_588     -94.4506
4qd6_593     -109.7920
4qd6_6       -93.0759
4qd6_612     -97.3729
4qd6_614     -116.9830
4qd6_62      -93.0380
4qd6_621     -108.1250
4qd6_623     -130.1165
4qd6_639     -119.6414
4qd6_642     -118.5447
4qd6_653     -114.2486
4qd6_671     -117.8127
4qd6_673     -185.9014
4qd6_674     -91.8783
4qd6_675     -106.8360
4qd6_678     -111.0652
4qd6_681     -97.1538
4qd6_683     -118.2330
4qd6_687     -186.5760
4qd6_700     -98.1259
4qd6_707     -110.4251
4qd6_708     -109.1000
4qd6_709     -109.6351
4qd6_714     -114.3514
4qd6_737     -107.0523
4qd6_790     -111.8005
4qd6_82      -99.9724
4qd6_825     -120.0246
4qd6_835     -109.9455
4qd6_84      -104.0612
4qd6_847     -104.9517
4qd6_85      -109.3297
4qd6_925     -117.0548
4qd6_934     -118.9976
4qd6_939     -119.5346
4qd6_942     -118.9043
4qd6_948     -117.1845
4qd6_954     -122.0149
4qd6_958     -123.4273
4qd6_960     -119.0778
4qd6_971     -120.8508
4qd6_975     -115.1386
4qd6_978     -113.4000
4qd6_ligand  -103.7483
