#code        score   
1nc1_13      -253685 
1nc1_18      -248735 
1nc1_865     -246557 
1nc1_207     -244156 
1nc1_739     -243298 
1nc1_853     -235250 
1nc1_724     -235246 
1nc1_763     -234112 
1nc1_6       -230118 
1nc1_144     -208893 
1nc1_75      -200243 
1nc1_275     -197229 
1nc1_526     -178225 
1nc1_427     -144844 
1nc1_431     -136414 
1nc1_575     -132580 
1nc1_648     -130172 
1nc1_643     -127545 
1nc1_161     -123522 
1nc1_126     -123005 
1nc1_133     -122294 
1nc1_172     -118640 
1nc1_103     -117987 
1nc1_152     -117413 
1nc1_422     -116338 
1nc1_529     -116182 
1nc1_142     -112371 
1nc1_121     -112285 
1nc1_551     -108067 
1nc1_615     -107653 
1nc1_634     -105160 
1nc1_591     -104508 
1nc1_536     -104498 
1nc1_443     -104491 
1nc1_62      -103757 
1nc1_685     -102779 
1nc1_661     -101739 
1nc1_441     -101642 
1nc1_576     -100708 
1nc1_596     -94136.8
1nc1_624     -93856.6
1nc1_527     -93708.2
1nc1_513     -93315.3
1nc1_552     -92888  
1nc1_495     -92879.4
1nc1_558     -89120.3
1nc1_667     -88977.3
1nc1_695     -88797.3
1nc1_538     -81129.2
1nc1_612     -80796.8
1nc1_585     -80636.7
1nc1_566     -80299.2
1nc1_692     -78441.6
1nc1_498     -76881  
1nc1_573     -70840.6
1nc1_550     -70668.4
1nc1_437     -70130.8
1nc1_665     -69366.2
1nc1_410     -68992.5
1nc1_670     -67741.9
1nc1_473     -59853  
1nc1_546     -59695.1
1nc1_663     -59382.3
1nc1_598     -58799.3
1nc1_659     -58590.1
1nc1_690     -57304.6
1nc1_597     -54243.6
1nc1_539     -51091.4
1nc1_587     -50403.5
1nc1_449     -43758.2
1nc1_480     -39350.1
1nc1_570     -20857.3
1nc1_664     -2585.8 
1nc1_696     44198.3 
1nc1_ligand  -253208 
