#code        score   
1o3f_372     -290892 
1o3f_538     -285524 
1o3f_931     -282204 
1o3f_752     -266667 
1o3f_504     -259887 
1o3f_458     -250336 
1o3f_910     -249809 
1o3f_168     -227995 
1o3f_798     -227856 
1o3f_144     -221726 
1o3f_145     -221716 
1o3f_125     -217812 
1o3f_423     -217510 
1o3f_152     -217151 
1o3f_112     -216069 
1o3f_257     -212240 
1o3f_175     -211655 
1o3f_485     -208134 
1o3f_94      -207065 
1o3f_503     -206562 
1o3f_265     -204340 
1o3f_148     -204290 
1o3f_162     -198994 
1o3f_494     -198198 
1o3f_64      -196760 
1o3f_495     -195193 
1o3f_501     -194676 
1o3f_126     -193598 
1o3f_163     -193011 
1o3f_670     -192890 
1o3f_417     -190881 
1o3f_173     -190453 
1o3f_246     -189344 
1o3f_507     -188948 
1o3f_464     -188214 
1o3f_563     -187928 
1o3f_506     -187029 
1o3f_598     -186541 
1o3f_407     -183451 
1o3f_247     -180814 
1o3f_624     -180704 
1o3f_572     -180523 
1o3f_185     -178025 
1o3f_693     -173001 
1o3f_445     -172866 
1o3f_463     -170188 
1o3f_472     -170170 
1o3f_460     -169253 
1o3f_595     -153363 
1o3f_242     -150088 
1o3f_558     -149558 
1o3f_696     -145614 
1o3f_530     -143398 
1o3f_668     -140993 
1o3f_191     -137938 
1o3f_591     -137237 
1o3f_582     -127137 
1o3f_526     -123483 
1o3f_498     -122443 
1o3f_482     -116618 
1o3f_449     -111861 
1o3f_489     -108494 
1o3f_566     -107162 
1o3f_446     -105503 
1o3f_672     -101989 
1o3f_490     -100521 
1o3f_690     -99203.2
1o3f_669     -81711.1
1o3f_547     -78801.9
1o3f_700     -70087.4
1o3f_588     3762.17 
1o3f_ligand  -292592 
