#code        score   
1y6r_232     -278707 
1y6r_925     -277346 
1y6r_806     -276346 
1y6r_809     -275197 
1y6r_819     -274937 
1y6r_947     -274546 
1y6r_808     -273192 
1y6r_968     -270044 
1y6r_734     -268301 
1y6r_858     -251761 
1y6r_288     -242664 
1y6r_429     -217094 
1y6r_424     -190818 
1y6r_405     -177504 
1y6r_480     -175161 
1y6r_481     -165765 
1y6r_645     -161772 
1y6r_455     -155155 
1y6r_476     -150940 
1y6r_496     -147239 
1y6r_445     -144597 
1y6r_434     -136687 
1y6r_655     -133954 
1y6r_406     -130520 
1y6r_440     -127373 
1y6r_438     -126247 
1y6r_666     -123117 
1y6r_575     -122493 
1y6r_678     -115026 
1y6r_613     -109967 
1y6r_484     -108539 
1y6r_510     -107267 
1y6r_604     -106068 
1y6r_463     -104669 
1y6r_595     -102583 
1y6r_419     -102185 
1y6r_570     -99873.6
1y6r_482     -94317.6
1y6r_551     -94105.3
1y6r_603     -93611.1
1y6r_657     -92551.6
1y6r_696     -91166.8
1y6r_457     -81836  
1y6r_413     -78804.8
1y6r_535     -77950.1
1y6r_473     -77373.3
1y6r_650     -72284  
1y6r_572     -70824.1
1y6r_579     -70075.8
1y6r_430     -60091.6
1y6r_656     -59079.2
1y6r_698     -58481.2
1y6r_652     -56055  
1y6r_694     -52390.5
1y6r_661     -16341.1
1y6r_450     19175   
1y6r_ligand  -286988 
