#code        score   
1z95_169     -308401 
1z95_313     -304717 
1z95_303     -300698 
1z95_337     -293299 
1z95_208     -287297 
1z95_266     -280104 
1z95_312     -272663 
1z95_827     -271961 
1z95_223     -269487 
1z95_14      -264119 
1z95_249     -255985 
1z95_872     -245627 
1z95_742     -243008 
1z95_29      -237274 
1z95_765     -215748 
1z95_219     -212028 
1z95_964     -211132 
1z95_774     -209392 
1z95_666     -196051 
1z95_474     -195988 
1z95_620     -193867 
1z95_255     -175495 
1z95_484     -164019 
1z95_565     -159131 
1z95_412     -158597 
1z95_547     -154654 
1z95_587     -154602 
1z95_499     -152241 
1z95_514     -150775 
1z95_700     -146559 
1z95_555     -145765 
1z95_684     -144060 
1z95_544     -138801 
1z95_779     -138543 
1z95_418     -137026 
1z95_548     -133419 
1z95_489     -131271 
1z95_419     -125785 
1z95_663     -110808 
1z95_550     -106763 
1z95_415     -98986.5
1z95_690     -98139.1
1z95_444     -97725.5
1z95_590     -96981.8
1z95_562     -91817.2
1z95_658     -91652.3
1z95_498     -90803.5
1z95_486     -89941  
1z95_545     -89699.7
1z95_566     -88161.7
1z95_694     -86543.4
1z95_427     -85944.2
1z95_445     -73019.4
1z95_686     -71116.4
1z95_560     -70947.9
1z95_648     -69807.9
1z95_581     -68218.4
1z95_490     -58823.2
1z95_408     -53372.8
1z95_483     -49886.1
1z95_407     -45793.5
1z95_428     -44710.6
1z95_626     -41792.7
1z95_436     -35303.7
1z95_449     -22654.7
1z95_437     7835.81 
1z95_ligand  -319445 
