#code        score   
2wvt_217     -165213 
2wvt_920     -154341 
2wvt_922     -147796 
2wvt_859     -140195 
2wvt_266     -138757 
2wvt_720     -132381 
2wvt_736     -129350 
2wvt_518     -119632 
2wvt_764     -108042 
2wvt_548     -104395 
2wvt_843     -98023.5
2wvt_762     -96320.6
2wvt_848     -94623.1
2wvt_442     -94619.7
2wvt_478     -94518.7
2wvt_552     -93875.5
2wvt_780     -91068.3
2wvt_884     -90499.6
2wvt_961     -87615.3
2wvt_870     -84635  
2wvt_982     -84604.8
2wvt_777     -83120.9
2wvt_731     -82587.6
2wvt_510     -82578  
2wvt_415     -81878.6
2wvt_770     -80371.3
2wvt_962     -78824.6
2wvt_775     -78670.1
2wvt_898     -73610.1
2wvt_529     -72500.7
2wvt_456     -72240.8
2wvt_767     -70517  
2wvt_875     -69751.1
2wvt_758     -69742.4
2wvt_526     -68035.4
2wvt_492     -67777.4
2wvt_593     -59709.1
2wvt_743     -59456.3
2wvt_574     -51181  
2wvt_404     -50734.1
2wvt_630     -49522.1
2wvt_474     -47115.9
2wvt_581     -46745.4
2wvt_678     -43196.9
2wvt_546     -42532.7
2wvt_565     -41119.3
2wvt_675     -36926.4
2wvt_615     -34318.2
2wvt_464     -33994.6
2wvt_579     3334.31 
2wvt_ligand  -158108 
