#code        score   
3g0w_281     -290346 
3g0w_791     -283951 
3g0w_196     -275260 
3g0w_241     -273905 
3g0w_27      -271214 
3g0w_800     -260479 
3g0w_195     -256882 
3g0w_185     -248772 
3g0w_401     -239302 
3g0w_562     -221948 
3g0w_703     -199673 
3g0w_409     -199143 
3g0w_832     -196144 
3g0w_413     -195931 
3g0w_441     -192980 
3g0w_874     -183151 
3g0w_889     -181122 
3g0w_658     -169550 
3g0w_475     -168927 
3g0w_494     -166791 
3g0w_458     -164848 
3g0w_639     -153867 
3g0w_516     -153532 
3g0w_552     -152367 
3g0w_573     -147133 
3g0w_690     -143025 
3g0w_410     -139616 
3g0w_613     -133327 
3g0w_523     -131481 
3g0w_753     -129943 
3g0w_493     -120949 
3g0w_609     -110356 
3g0w_499     -109758 
3g0w_774     -104917 
3g0w_417     -98367.7
3g0w_773     -91157  
3g0w_697     -79401.9
3g0w_754     -79289.7
3g0w_696     -78291.8
3g0w_488     -77749.8
3g0w_755     -71267.1
3g0w_759     -65197.5
3g0w_574     -65163  
3g0w_766     -57012.5
3g0w_768     -55453.9
3g0w_772     -53980.3
3g0w_767     -53718.5
3g0w_758     -53230  
3g0w_757     -49982.4
3g0w_764     -44947.3
3g0w_545     -41758.5
3g0w_783     -41327.6
3g0w_765     -34604.6
3g0w_779     -26979.1
3g0w_761     -6754.78
3g0w_775     -6508.16
3g0w_790     -3348.76
3g0w_778     3539.2  
3g0w_786     6068.81 
3g0w_780     18297   
3g0w_789     35628   
3g0w_771     36077.9 
3g0w_756     42118.4 
3g0w_769     46797.8 
3g0w_782     50797.2 
3g0w_787     52690.2 
3g0w_788     55185.4 
3g0w_ligand  -283571 
