#code        score   
4bkt_369     -177145 
4bkt_178     -161789 
4bkt_17      -159873 
4bkt_62      -154176 
4bkt_11      -151203 
4bkt_140     -151173 
4bkt_161     -148445 
4bkt_32      -143359 
4bkt_283     -141885 
4bkt_713     -137774 
4bkt_744     -137260 
4bkt_876     -134501 
4bkt_614     -132439 
4bkt_953     -128008 
4bkt_737     -120821 
4bkt_710     -115568 
4bkt_826     -114793 
4bkt_849     -114759 
4bkt_969     -111963 
4bkt_891     -111193 
4bkt_983     -109812 
4bkt_984     -105592 
4bkt_769     -104871 
4bkt_931     -100479 
4bkt_874     -94747.7
4bkt_542     -93793.5
4bkt_695     -91750.5
4bkt_877     -91344  
4bkt_751     -90377.7
4bkt_869     -89448.8
4bkt_863     -88902.5
4bkt_484     -87792.2
4bkt_778     -87202.3
4bkt_880     -86974.3
4bkt_752     -85806.2
4bkt_893     -82808.1
4bkt_862     -82800.2
4bkt_760     -78590.8
4bkt_405     -78352.7
4bkt_768     -75577.1
4bkt_853     -74967.5
4bkt_885     -74658.1
4bkt_741     -73907.9
4bkt_716     -73375.3
4bkt_761     -71150.1
4bkt_773     -66630.9
4bkt_871     -66586.7
4bkt_838     -65559.2
4bkt_507     -61598.4
4bkt_735     -61442  
4bkt_750     -61148.7
4bkt_865     -60735.2
4bkt_932     -60429.2
4bkt_890     -60304.7
4bkt_883     -60235.3
4bkt_538     -56990.9
4bkt_586     -55296.5
4bkt_746     -55091.1
4bkt_568     -50576.2
4bkt_766     -50474.9
4bkt_791     -48260.7
4bkt_767     -48160.9
4bkt_743     -47543.7
4bkt_775     -47164.1
4bkt_784     -46760.2
4bkt_753     -45783.6
4bkt_478     -45586.6
4bkt_774     -44764.6
4bkt_797     -43896.6
4bkt_759     -43461.9
4bkt_800     -41897.3
4bkt_523     -41865.4
4bkt_537     -39012.1
4bkt_782     -37501.1
4bkt_779     -35877  
4bkt_664     -34823.1
4bkt_539     -34476.3
4bkt_898     -33815.2
4bkt_541     -29829.8
4bkt_486     -19309.3
4bkt_439     -17729.6
4bkt_442     -16987.2
4bkt_540     13100.9 
4bkt_581     15176.3 
4bkt_560     37431.9 
4bkt_ligand  -172663 
