#code        score   
3fur_342     -265009 
3fur_323     -263251 
3fur_6       -249175 
3fur_138     -230303 
3fur_254     -223136 
3fur_215     -219872 
3fur_243     -213323 
3fur_153     -198545 
3fur_234     -188384 
3fur_220     -172992 
3fur_331     -172313 
3fur_374     -171662 
3fur_203     -169923 
3fur_33      -169783 
3fur_328     -169037 
3fur_94      -165683 
3fur_160     -157384 
3fur_308     -155423 
3fur_88      -155091 
3fur_364     -152847 
3fur_318     -146598 
3fur_399     -146177 
3fur_59      -144377 
3fur_960     -143087 
3fur_395     -141170 
3fur_43      -140271 
3fur_60      -139127 
3fur_317     -133756 
3fur_7       -132234 
3fur_369     -130306 
3fur_110     -129342 
3fur_181     -128198 
3fur_173     -126745 
3fur_233     -125124 
3fur_165     -124451 
3fur_145     -118747 
3fur_237     -111558 
3fur_154     -110646 
3fur_146     -107784 
3fur_194     -99772.7
3fur_131     -95539.2
3fur_13      -94542.6
3fur_554     -93777.4
3fur_783     -90286.5
3fur_2       -90211.4
3fur_729     -75395.1
3fur_778     -71370.6
3fur_673     -63388.9
3fur_568     -41600.3
3fur_681     -28594.3
3fur_413     -28349.9
3fur_630     -28038.2
3fur_600     -27654.7
3fur_535     -26587.6
3fur_514     -26388  
3fur_537     -23004  
3fur_442     -18175.4
3fur_692     -15174.8
3fur_539     -7044.77
3fur_557     -4196.48
3fur_666     -1977.82
3fur_541     142.733 
3fur_454     4407.28 
3fur_561     6769.21 
3fur_697     7596.98 
3fur_437     8684.86 
3fur_796     10173.5 
3fur_440     12386.4 
3fur_417     13809   
3fur_538     14695.7 
3fur_433     24510   
3fur_513     26645   
3fur_449     26688.2 
3fur_696     27010.3 
3fur_532     27367.9 
3fur_469     32189.9 
3fur_657     36391.7 
3fur_588     45498   
3fur_787     46378.4 
3fur_672     49001.3 
3fur_623     51919   
3fur_632     54893.7 
3fur_571     58719.2 
3fur_444     59494.4 
3fur_683     60005.7 
3fur_659     69770   
3fur_560     73015.9 
3fur_406     76942.1 
3fur_612     78708.7 
3fur_483     83012   
3fur_675     84975.4 
3fur_461     103096  
3fur_797     106118  
3fur_794     108915  
3fur_427     133936  
3fur_415     146374  
3fur_484     146410  
3fur_494     178954  
3fur_684     206096  
3fur_446     212123  
3fur_ligand  -265647 
