#code        score   
3gc5_403     -162393 
3gc5_402     -155229 
3gc5_408     -144238 
3gc5_559     -124157 
3gc5_739     -124066 
3gc5_500     -119192 
3gc5_752     -117765 
3gc5_764     -116215 
3gc5_749     -113206 
3gc5_878     -110198 
3gc5_682     -109479 
3gc5_879     -107820 
3gc5_822     -107072 
3gc5_715     -103721 
3gc5_426     -102499 
3gc5_507     -100212 
3gc5_780     -97267.4
3gc5_759     -96508.9
3gc5_778     -95344  
3gc5_406     -94810.1
3gc5_566     -93696  
3gc5_758     -90234.9
3gc5_636     -89674  
3gc5_604     -89142.6
3gc5_757     -86065.5
3gc5_475     -84121.6
3gc5_532     -82288.5
3gc5_605     -82224.4
3gc5_518     -80961  
3gc5_679     -78871.2
3gc5_770     -78115.8
3gc5_733     -77370  
3gc5_772     -76563.2
3gc5_607     -76099.1
3gc5_776     -75456.8
3gc5_524     -75387.5
3gc5_606     -72057.1
3gc5_777     -70659.5
3gc5_775     -70496.8
3gc5_779     -68517.5
3gc5_755     -67410.4
3gc5_662     -66602.9
3gc5_663     -65126  
3gc5_582     -62870.3
3gc5_427     -62730.4
3gc5_551     -59817.2
3gc5_460     -59801.7
3gc5_563     -59402.1
3gc5_973     -55826.5
3gc5_783     -53381.2
3gc5_463     -53248.1
3gc5_603     -51232.6
3gc5_638     -49844  
3gc5_657     -48370.7
3gc5_464     -47284.6
3gc5_495     -46849.8
3gc5_574     -46620.7
3gc5_428     -46347.9
3gc5_461     -46027.1
3gc5_631     -44964.5
3gc5_516     -40420.8
3gc5_577     -37524.5
3gc5_536     -34852.2
3gc5_565     -33774.1
3gc5_617     -32781.5
3gc5_436     -32745.5
3gc5_457     -28714  
3gc5_451     -26882  
3gc5_567     -20331.5
3gc5_773     -18882.7
3gc5_492     -18732.2
3gc5_446     -17905.7
3gc5_646     -17071.5
3gc5_784     -15153.6
3gc5_647     -15062.7
3gc5_471     -13903  
3gc5_585     -12772.5
3gc5_589     -10594.6
3gc5_556     8085.3  
3gc5_580     10891.7 
3gc5_627     15248.2 
3gc5_467     23241.5 
3gc5_696     45076.4 
3gc5_691     55566.5 
3gc5_632     61456.5 
3gc5_ligand  -256082 
