#code        score   
4abg_800     -155097 
4abg_149     -154309 
4abg_824     -147482 
4abg_814     -142925 
4abg_875     -126515 
4abg_263     -124798 
4abg_885     -120945 
4abg_710     -119415 
4abg_430     -118229 
4abg_826     -117516 
4abg_835     -115892 
4abg_718     -109548 
4abg_450     -108913 
4abg_465     -107718 
4abg_848     -105919 
4abg_857     -100096 
4abg_414     -97653.7
4abg_808     -96242  
4abg_845     -93653  
4abg_980     -91588.4
4abg_719     -89828.7
4abg_757     -88556.9
4abg_788     -88486.5
4abg_750     -87105.2
4abg_955     -85570.6
4abg_784     -84775.2
4abg_787     -81564.7
4abg_983     -81164.4
4abg_840     -79093.9
4abg_888     -78874.9
4abg_780     -74317.9
4abg_580     -73684.1
4abg_865     -72851.7
4abg_956     -71687.4
4abg_839     -65668.2
4abg_792     -65643.2
4abg_408     -63090.1
4abg_781     -62544.6
4abg_769     -57602.3
4abg_786     -57066  
4abg_770     -50447.2
4abg_864     -50184.8
4abg_751     -49716.1
4abg_479     -49349.3
4abg_778     -48613.6
4abg_741     -47123  
4abg_761     -44893.7
4abg_429     -41882.5
4abg_793     -38594.4
4abg_552     -37935  
4abg_782     -25115.3
4abg_860     -24807.4
4abg_597     -23911.5
4abg_587     -21237.7
4abg_973     -16890.7
4abg_573     -12515  
4abg_593     -4656.06
4abg_475     -1012.11
4abg_236     3743.07 
4abg_537     34654.8 
4abg_572     68053.4 
4abg_ligand  -172180 
