#code        score   
4gid_336     -483481 
4gid_201     -460759 
4gid_269     -447328 
4gid_298     -433438 
4gid_291     -409020 
4gid_197     -404977 
4gid_791     -383404 
4gid_792     -374433 
4gid_230     -373693 
4gid_257     -364460 
4gid_245     -364090 
4gid_789     -359976 
4gid_259     -347671 
4gid_804     -343857 
4gid_205     -342866 
4gid_285     -311879 
4gid_937     -305652 
4gid_796     -303165 
4gid_941     -282484 
4gid_815     -279987 
4gid_897     -273005 
4gid_809     -267574 
4gid_204     -261525 
4gid_235     -260918 
4gid_246     -259799 
4gid_368     -257357 
4gid_713     -253406 
4gid_301     -242874 
4gid_54      -240929 
4gid_134     -240640 
4gid_943     -236964 
4gid_951     -234691 
4gid_880     -230030 
4gid_860     -227666 
4gid_282     -222908 
4gid_311     -220685 
4gid_732     -216554 
4gid_739     -216215 
4gid_39      -209632 
4gid_811     -202037 
4gid_78      -201776 
4gid_944     -201546 
4gid_315     -201451 
4gid_372     -198852 
4gid_242     -195594 
4gid_833     -192049 
4gid_229     -186849 
4gid_393     -186287 
4gid_959     -183835 
4gid_861     -180096 
4gid_766     -174829 
4gid_946     -171909 
4gid_725     -169436 
4gid_752     -163841 
4gid_948     -162378 
4gid_277     -152171 
4gid_324     -151270 
4gid_132     -148440 
4gid_237     -130329 
4gid_232     -112505 
4gid_718     -112378 
4gid_270     -106322 
4gid_735     -84659.6
4gid_276     -63110.2
4gid_770     -58983.2
4gid_290     -56798.4
4gid_874     -9479.95
4gid_744     15541.1 
4gid_217     22239.1 
4gid_509     67755.7 
4gid_630     73580.7 
4gid_625     73717.4 
4gid_506     86638.5 
4gid_507     151394  
4gid_577     178131  
4gid_435     191766  
4gid_475     205735  
4gid_416     206323  
4gid_481     210485  
4gid_408     221982  
4gid_453     222562  
4gid_449     232109  
4gid_482     267762  
4gid_402     268949  
4gid_700     271089  
4gid_666     274422  
4gid_580     279507  
4gid_596     280998  
4gid_699     283055  
4gid_429     290349  
4gid_629     294810  
4gid_405     366557  
4gid_486     368289  
4gid_428     392381  
4gid_433     436596  
4gid_462     439624  
4gid_421     524808  
4gid_412     552588  
4gid_483     626300  
4gid_479     679767  
4gid_ligand  -518078 
