#code        score   
4gr0_326     -447325 
4gr0_709     -433294 
4gr0_237     -408787 
4gr0_281     -397742 
4gr0_268     -394029 
4gr0_341     -387282 
4gr0_91      -378758 
4gr0_272     -377642 
4gr0_53      -369239 
4gr0_761     -365022 
4gr0_287     -360604 
4gr0_206     -359103 
4gr0_107     -354406 
4gr0_240     -350408 
4gr0_55      -348054 
4gr0_791     -347619 
4gr0_250     -346206 
4gr0_768     -341215 
4gr0_13      -338855 
4gr0_305     -336092 
4gr0_159     -332196 
4gr0_905     -329716 
4gr0_286     -319083 
4gr0_226     -302750 
4gr0_375     -300594 
4gr0_217     -299827 
4gr0_300     -286292 
4gr0_279     -281468 
4gr0_56      -277376 
4gr0_228     -275192 
4gr0_242     -268575 
4gr0_306     -257128 
4gr0_119     -256118 
4gr0_715     -235622 
4gr0_314     -234646 
4gr0_15      -226807 
4gr0_33      -225227 
4gr0_120     -215406 
4gr0_236     -212052 
4gr0_324     -208604 
4gr0_218     -207587 
4gr0_381     -192157 
4gr0_162     -183430 
4gr0_113     -171371 
4gr0_133     -170220 
4gr0_497     -82122.7
4gr0_575     -66472.5
4gr0_583     -61328.3
4gr0_644     -26522  
4gr0_573     -15936.9
4gr0_456     -8179.94
4gr0_545     23989.5 
4gr0_408     40387.5 
4gr0_410     56997.3 
4gr0_550     64657.7 
4gr0_529     66005.6 
4gr0_416     69532.1 
4gr0_630     71075   
4gr0_650     76024.2 
4gr0_452     76822.9 
4gr0_584     92922.8 
4gr0_473     102926  
4gr0_594     111338  
4gr0_468     117237  
4gr0_438     129931  
4gr0_541     135210  
4gr0_566     143143  
4gr0_591     153120  
4gr0_565     153241  
4gr0_546     165991  
4gr0_518     166217  
4gr0_422     176031  
4gr0_492     204777  
4gr0_605     214411  
4gr0_433     215370  
4gr0_486     216092  
4gr0_674     216393  
4gr0_428     216838  
4gr0_558     237982  
4gr0_471     238184  
4gr0_405     238564  
4gr0_439     267542  
4gr0_421     268580  
4gr0_459     302532  
4gr0_465     303031  
4gr0_467     320460  
4gr0_491     324588  
4gr0_419     337061  
4gr0_412     344920  
4gr0_440     355175  
4gr0_499     356828  
4gr0_476     361318  
4gr0_472     362555  
4gr0_417     378170  
4gr0_402     470609  
4gr0_420     470804  
4gr0_429     475304  
4gr0_474     477974  
4gr0_457     586495  
4gr0_411     698197  
4gr0_ligand  -465124 
