#code        score   
4m0z_41      -211980 
4m0z_516     -204490 
4m0z_501     -193264 
4m0z_505     -153828 
4m0z_626     -153693 
4m0z_603     -146346 
4m0z_869     -132681 
4m0z_615     -131167 
4m0z_508     -129796 
4m0z_883     -110305 
4m0z_683     -107322 
4m0z_415     -105956 
4m0z_684     -100424 
4m0z_633     -100409 
4m0z_436     -97269.1
4m0z_529     -92368.9
4m0z_584     -88591  
4m0z_614     -86691.5
4m0z_680     -84675.9
4m0z_686     -80638.6
4m0z_640     -79054.2
4m0z_539     -78715.9
4m0z_532     -77792.5
4m0z_402     -76601  
4m0z_473     -76509.5
4m0z_444     -74918.4
4m0z_487     -74848.2
4m0z_457     -73861.1
4m0z_462     -72916.1
4m0z_450     -69425.5
4m0z_634     -67439.1
4m0z_697     -67309.5
4m0z_669     -66010.2
4m0z_685     -65346.4
4m0z_439     -61750.4
4m0z_526     -61473.7
4m0z_580     -61012.8
4m0z_878     -57534.7
4m0z_552     -56743.1
4m0z_650     -56361.6
4m0z_456     -56238.7
4m0z_696     -54842.2
4m0z_443     -51405.1
4m0z_568     -48825.4
4m0z_455     -48424.3
4m0z_700     -43950.7
4m0z_560     -41352.3
4m0z_517     -40063.5
4m0z_646     -40027.1
4m0z_581     -35085.2
4m0z_574     -29969.6
4m0z_882     -27519.9
4m0z_690     -26172.2
4m0z_575     -25034.3
4m0z_678     -19992.8
4m0z_695     -14998.5
4m0z_779     -13131.3
4m0z_648     -6412.86
4m0z_558     -4152.24
4m0z_600     324.862 
4m0z_601     1958.22 
4m0z_477     13620.8 
4m0z_494     13677.3 
4m0z_492     15312.7 
4m0z_666     15711.3 
4m0z_641     17199.6 
4m0z_699     22761.1 
4m0z_571     38542.7 
4m0z_880     39363.2 
4m0z_662     48327.4 
4m0z_ligand  -252539 
