#code        score   
5dwr_382     -238813 
5dwr_215     -210991 
5dwr_289     -209936 
5dwr_166     -208838 
5dwr_297     -206180 
5dwr_200     -197531 
5dwr_286     -196613 
5dwr_193     -195014 
5dwr_144     -189029 
5dwr_157     -181314 
5dwr_148     -177583 
5dwr_162     -172424 
5dwr_312     -168911 
5dwr_76      -160095 
5dwr_610     -145703 
5dwr_711     -145685 
5dwr_96      -137181 
5dwr_636     -116386 
5dwr_666     -103649 
5dwr_431     -97977.7
5dwr_875     -95667.8
5dwr_404     -79174.7
5dwr_649     -78658.3
5dwr_680     -77908.4
5dwr_527     -76157.1
5dwr_663     -74670.6
5dwr_518     -74563.3
5dwr_534     -72929.8
5dwr_702     -63066.2
5dwr_710     -56671.6
5dwr_574     -56310.3
5dwr_676     -54583.2
5dwr_635     -52943.6
5dwr_498     -52895.5
5dwr_466     -52429.3
5dwr_675     -48934.9
5dwr_584     -46189.5
5dwr_720     -45849.4
5dwr_612     -45022.9
5dwr_559     -44300.7
5dwr_598     -41734  
5dwr_626     -27143.2
5dwr_560     -25450.7
5dwr_508     -18835.7
5dwr_542     -18070.3
5dwr_484     -16027  
5dwr_588     -12248.9
5dwr_654     -9999.02
5dwr_637     -8823.88
5dwr_490     -8678.25
5dwr_745     -8288.71
5dwr_677     -5710.64
5dwr_642     -594.319
5dwr_604     7787.02 
5dwr_442     8042.49 
5dwr_671     9271.27 
5dwr_497     12446.9 
5dwr_411     12561.6 
5dwr_504     19708.8 
5dwr_521     22099.1 
5dwr_425     24246.1 
5dwr_401     25076.6 
5dwr_693     27703.3 
5dwr_614     28596.9 
5dwr_628     33476.2 
5dwr_568     35861.1 
5dwr_691     36168   
5dwr_480     43463   
5dwr_412     46584.1 
5dwr_461     53720   
5dwr_697     58587.9 
5dwr_699     62977   
5dwr_640     64034.8 
5dwr_633     70666.7 
5dwr_638     76665.2 
5dwr_686     77690.6 
5dwr_451     82746.1 
5dwr_441     83846   
5dwr_695     96450.8 
5dwr_467     103449  
5dwr_475     103624  
5dwr_419     109516  
5dwr_489     125154  
5dwr_669     143497  
5dwr_ligand  -241739 
