#code        score   
1gpn_109     -203.0937
1gpn_252     -218.9919
1gpn_299     -214.9498
1gpn_330     -208.6983
1gpn_401     -203.2136
1gpn_404     -195.9187
1gpn_405     -209.8639
1gpn_407     -223.3975
1gpn_422     -264.2960
1gpn_435     -229.8185
1gpn_443     -221.8592
1gpn_446     -182.1192
1gpn_451     -244.6966
1gpn_459     -201.3705
1gpn_466     -202.1034
1gpn_471     -213.6006
1gpn_475     -181.3239
1gpn_477     -203.6770
1gpn_481     -176.8399
1gpn_483     -189.2278
1gpn_490     -196.4889
1gpn_549     -198.5394
1gpn_551     -199.2667
1gpn_553     -190.1659
1gpn_555     -201.5339
1gpn_556     -177.8226
1gpn_578     -214.8755
1gpn_589     -278.7304
1gpn_596     -206.9928
1gpn_600     -196.9498
1gpn_61      -208.7327
1gpn_615     -197.1510
1gpn_617     -210.7164
1gpn_638     -217.4330
1gpn_653     -211.2450
1gpn_657     -202.7871
1gpn_658     -201.1737
1gpn_662     -227.1735
1gpn_675     -178.1095
1gpn_682     -175.3802
1gpn_683     -210.7070
1gpn_684     -247.2183
1gpn_689     -205.1898
1gpn_759     -204.3394
1gpn_768     -249.9395
1gpn_775     -192.1865
1gpn_779     -204.8194
1gpn_781     -205.2478
1gpn_782     -195.2402
1gpn_784     -232.5982
1gpn_785     -204.3015
1gpn_786     -231.0755
1gpn_794     -208.3849
1gpn_796     -211.2507
1gpn_868     -204.4991
1gpn_885     -206.2234
1gpn_ligand  -216.0657
