#code        score   
3dd0_156     -125.9543
3dd0_158     -112.5188
3dd0_161     -114.0536
3dd0_162     -132.8551
3dd0_168     -127.9718
3dd0_182     -132.5524
3dd0_197     -114.0502
3dd0_234     -128.4155
3dd0_238     -160.5432
3dd0_263     -148.1141
3dd0_273     -115.5609
3dd0_277     -138.9186
3dd0_283     -147.9029
3dd0_298     -159.6418
3dd0_314     -131.5581
3dd0_316     -138.9482
3dd0_360     -131.3320
3dd0_378     -131.9739
3dd0_402     -153.8570
3dd0_403     -123.4258
3dd0_406     -128.4849
3dd0_411     -108.1228
3dd0_42      -130.9591
3dd0_43      -127.2572
3dd0_432     -131.3300
3dd0_441     -112.8402
3dd0_451     -108.8935
3dd0_455     -109.3651
3dd0_47      -129.9054
3dd0_478     -131.6253
3dd0_479     -111.4605
3dd0_482     -107.4413
3dd0_484     -93.9201
3dd0_495     -148.4911
3dd0_50      -129.1783
3dd0_505     -137.3820
3dd0_506     -106.0929
3dd0_508     -98.9249
3dd0_510     -137.1812
3dd0_553     -106.6002
3dd0_567     -127.8009
3dd0_570     -104.1073
3dd0_572     -152.9076
3dd0_582     -147.6233
3dd0_585     -128.4629
3dd0_595     -117.8558
3dd0_61      -132.7203
3dd0_642     -150.4245
3dd0_645     -121.3408
3dd0_657     -96.7943
3dd0_700     -131.6269
3dd0_71      -160.7952
3dd0_725     -93.6409
3dd0_761     -87.8094
3dd0_769     -97.9725
3dd0_772     -100.3564
3dd0_775     -87.7068
3dd0_777     -90.7581
3dd0_787     -90.7033
3dd0_788     -94.9527
3dd0_796     -46.3526
3dd0_821     -125.3436
3dd0_868     -99.0086
3dd0_869     -112.2004
3dd0_886     -108.6649
3dd0_892     -85.3313
3dd0_895     -96.4590
3dd0_897     -87.7381
3dd0_974     -121.3086
3dd0_98      -148.2095
3dd0_996     -126.3957
3dd0_ligand  -126.0827
