#code        score   
3fv2_172     -376.6579
3fv2_177     -374.7971
3fv2_200     -384.4816
3fv2_298     -422.9164
3fv2_302     -371.7531
3fv2_408     -329.5896
3fv2_409     -196.1668
3fv2_412     -169.6158
3fv2_42      -288.2821
3fv2_424     -197.0998
3fv2_429     -174.0139
3fv2_430     -231.9187
3fv2_459     -179.3749
3fv2_466     -204.5700
3fv2_484     -250.1675
3fv2_485     -226.8249
3fv2_488     -157.7402
3fv2_489     -186.0533
3fv2_500     -196.9172
3fv2_503     -263.7660
3fv2_509     -310.6565
3fv2_510     -246.3242
3fv2_514     -267.2963
3fv2_517     -308.0273
3fv2_520     -241.9793
3fv2_547     -282.1900
3fv2_548     -211.0678
3fv2_556     -275.4125
3fv2_559     -276.1204
3fv2_563     -275.9294
3fv2_566     -242.7967
3fv2_576     -177.4625
3fv2_582     -288.8625
3fv2_588     -186.8978
3fv2_590     -201.7794
3fv2_592     -251.7447
3fv2_613     -301.2438
3fv2_623     -187.2259
3fv2_626     -268.6270
3fv2_642     -209.9141
3fv2_652     -264.4623
3fv2_657     -257.0817
3fv2_658     -237.8171
3fv2_675     -214.6404
3fv2_676     -192.0210
3fv2_681     -256.4110
3fv2_684     -178.6817
3fv2_688     -210.8370
3fv2_699     -237.4719
3fv2_832     -352.3118
3fv2_ligand  -379.1939
