#code        score   
3k5v_101     -121.3016
3k5v_117     -144.4013
3k5v_123     -133.6311
3k5v_152     -180.0426
3k5v_153     -144.3182
3k5v_171     -137.1133
3k5v_174     -152.5629
3k5v_189     -137.2363
3k5v_199     -114.7355
3k5v_206     -222.1199
3k5v_211     -178.8501
3k5v_218     -181.6540
3k5v_236     -196.4426
3k5v_274     -220.1673
3k5v_275     -162.0775
3k5v_296     -196.7058
3k5v_301     -168.9778
3k5v_321     -153.8617
3k5v_324     -161.2688
3k5v_330     -159.6471
3k5v_333     -164.2098
3k5v_334     -167.8089
3k5v_335     -130.0012
3k5v_337     -153.8066
3k5v_367     -175.1653
3k5v_382     -180.7663
3k5v_383     -158.3243
3k5v_385     -181.5497
3k5v_386     -164.2459
3k5v_391     -185.5472
3k5v_393     -182.1668
3k5v_400     -161.3736
3k5v_429     -238.2914
3k5v_431     -161.0183
3k5v_433     -172.0977
3k5v_442     -168.7058
3k5v_456     -119.2589
3k5v_468     -153.3354
3k5v_484     -167.5849
3k5v_490     -172.3513
3k5v_493     -167.5332
3k5v_498     -147.2650
3k5v_499     -126.4608
3k5v_541     -141.1594
3k5v_543     -82.6274
3k5v_548     -125.0459
3k5v_558     -160.9259
3k5v_561     -122.1478
3k5v_563     -108.8322
3k5v_588     -56.0818
3k5v_592     -127.4194
3k5v_593     -134.4606
3k5v_601     -179.3414
3k5v_626     -137.7486
3k5v_630     -153.8773
3k5v_640     -171.0333
3k5v_658     -138.9577
3k5v_664     -149.2161
3k5v_666     -131.1781
3k5v_686     -160.1148
3k5v_710     -180.2919
3k5v_713     -148.7032
3k5v_727     -107.6211
3k5v_729     -149.9562
3k5v_732     -110.9420
3k5v_738     -109.3524
3k5v_740     -226.1348
3k5v_742     -93.7425
3k5v_757     -138.8878
3k5v_759     -103.1479
3k5v_762     -160.2054
3k5v_769     -71.4146
3k5v_772     -103.5483
3k5v_774     -60.4878
3k5v_775     -120.1362
3k5v_776     -125.1650
3k5v_810     -171.6414
3k5v_842     -158.6181
3k5v_843     -152.7745
3k5v_851     -122.4971
3k5v_852     -128.4563
3k5v_866     -137.6072
3k5v_886     -120.3580
3k5v_891     -158.1536
3k5v_928     -168.0108
3k5v_953     -186.1642
3k5v_960     -197.7931
3k5v_981     -197.9859
3k5v_ligand  -150.2968
