#code        score   
3n86_265     -330.9067
3n86_404     -205.6408
3n86_405     -222.0824
3n86_412     -217.5317
3n86_419     -185.5756
3n86_420     -216.0301
3n86_424     -213.2241
3n86_430     -211.4419
3n86_432     -213.9255
3n86_433     -221.0194
3n86_436     -210.3063
3n86_438     -226.7606
3n86_443     -259.5794
3n86_451     -180.9356
3n86_460     -198.6377
3n86_462     -225.0958
3n86_465     -247.8037
3n86_467     -236.5266
3n86_468     -277.3271
3n86_472     -191.7305
3n86_475     -226.5104
3n86_477     -196.2651
3n86_480     -209.3099
3n86_483     -213.2613
3n86_485     -253.2211
3n86_486     -206.4532
3n86_487     -195.4824
3n86_491     -185.9359
3n86_500     -205.5001
3n86_509     -229.7128
3n86_531     -188.4522
3n86_532     -282.4450
3n86_54      -268.7508
3n86_557     -186.9200
3n86_563     -180.7668
3n86_574     -162.7274
3n86_586     -215.7874
3n86_595     -211.5271
3n86_596     -243.7973
3n86_610     -217.7990
3n86_639     -216.0301
3n86_657     -189.7907
3n86_662     -246.1216
3n86_664     -211.5271
3n86_665     -203.1985
3n86_666     -203.1685
3n86_674     -188.1975
3n86_676     -210.3063
3n86_680     -247.8037
3n86_690     -209.3329
3n86_768     -361.9568
3n86_859     -341.5903
3n86_861     -353.0985
3n86_870     -346.1083
3n86_878     -310.0491
3n86_99      -272.5919
3n86_ligand  -309.8514
