#code        score   
3oe4_1       -195.0212
3oe4_105     -137.4831
3oe4_109     -190.0327
3oe4_113     -148.9493
3oe4_114     -355.8587
3oe4_118     -119.0225
3oe4_119     -201.4442
3oe4_12      -186.5741
3oe4_120     -174.8558
3oe4_131     -198.9238
3oe4_136     -186.7277
3oe4_137     -280.0450
3oe4_158     -212.3461
3oe4_161     -151.1070
3oe4_17      -143.6671
3oe4_180     -172.4486
3oe4_189     -151.6765
3oe4_20      -238.7243
3oe4_203     -335.6607
3oe4_224     -238.3466
3oe4_237     -317.8876
3oe4_279     -309.3310
3oe4_283     -332.9765
3oe4_285     -377.1709
3oe4_288     -188.7814
3oe4_29      -250.1315
3oe4_291     -350.5246
3oe4_292     -400.8219
3oe4_305     -218.6901
3oe4_312     -379.9516
3oe4_314     -295.5925
3oe4_324     -194.1319
3oe4_328     -380.0483
3oe4_34      -212.0191
3oe4_340     -212.9938
3oe4_374     -179.6810
3oe4_38      -174.2798
3oe4_404     -249.1168
3oe4_409     -251.7688
3oe4_410     -259.4995
3oe4_413     -313.3446
3oe4_431     -226.0527
3oe4_438     -245.9371
3oe4_446     -256.7395
3oe4_453     -218.4705
3oe4_457     -201.2001
3oe4_458     -226.4300
3oe4_468     -231.0032
3oe4_470     -193.5542
3oe4_478     -234.5614
3oe4_486     -215.9611
3oe4_500     -220.4400
3oe4_506     -231.3428
3oe4_509     -185.7551
3oe4_518     -230.8711
3oe4_522     -270.6064
3oe4_525     -217.3105
3oe4_528     -145.1236
3oe4_531     -199.3495
3oe4_544     -204.1707
3oe4_546     -206.6684
3oe4_551     -205.2871
3oe4_557     -152.1038
3oe4_558     -241.2382
3oe4_561     -85.4645
3oe4_562     -209.1770
3oe4_57      -172.6561
3oe4_573     -203.8346
3oe4_574     -239.6994
3oe4_578     -208.0981
3oe4_597     -185.3153
3oe4_61      -203.1714
3oe4_611     -172.6180
3oe4_615     -184.7780
3oe4_66      -156.4361
3oe4_665     -126.7258
3oe4_667     -182.0829
3oe4_670     -157.3886
3oe4_690     -229.8587
3oe4_70      -313.0659
3oe4_74      -296.0501
3oe4_745     -243.2293
3oe4_767     -212.4591
3oe4_780     -288.6017
3oe4_781     -311.0338
3oe4_793     -282.6703
3oe4_795     -273.4664
3oe4_796     -240.9646
3oe4_797     -281.6961
3oe4_82      -270.9333
3oe4_820     -346.1407
3oe4_831     -270.8153
3oe4_85      -169.7756
3oe4_89      -199.1179
3oe4_924     -261.3265
3oe4_972     -260.9301
3oe4_992     -293.9834
3oe4_996     -275.0849
3oe4_ligand  -342.2386
