#code        score   
4crc_100     -129.2259
4crc_106     -135.9740
4crc_120     -115.4101
4crc_126     -154.6217
4crc_131     -231.9953
4crc_132     -171.5941
4crc_138     -217.9299
4crc_140     -131.8912
4crc_149     -200.6783
4crc_164     -226.9356
4crc_168     -216.8561
4crc_175     -125.5563
4crc_185     -233.8590
4crc_192     -180.9406
4crc_212     -295.1942
4crc_215     -316.4715
4crc_217     -288.4216
4crc_263     -267.6664
4crc_291     -262.8199
4crc_314     -250.2743
4crc_323     -125.6868
4crc_368     -249.7749
4crc_391     -143.8989
4crc_401     -203.3322
4crc_411     -181.0760
4crc_412     -212.0145
4crc_417     -163.8763
4crc_423     -220.1932
4crc_426     -192.8677
4crc_443     -171.4223
4crc_447     -235.0639
4crc_464     -251.9979
4crc_475     -164.3340
4crc_480     -270.6669
4crc_481     -194.7540
4crc_485     -136.3105
4crc_486     -214.5982
4crc_493     -230.7500
4crc_505     -231.9298
4crc_509     -258.9019
4crc_511     -166.0013
4crc_517     -161.3882
4crc_528     -180.6708
4crc_533     -230.6121
4crc_537     -145.5757
4crc_538     -119.7096
4crc_542     -140.2033
4crc_544     -226.7651
4crc_549     -190.5714
4crc_557     -177.5843
4crc_560     -130.5490
4crc_561     -188.7625
4crc_564     -218.9114
4crc_569     -121.4361
4crc_571     -146.4530
4crc_574     -132.4810
4crc_575     -93.1481
4crc_586     -208.1759
4crc_588     -141.3367
4crc_590     -142.3976
4crc_591     -190.0094
4crc_592     -97.5479
4crc_597     -212.6078
4crc_618     -190.4838
4crc_620     -245.8611
4crc_626     -175.7471
4crc_627     -195.5641
4crc_633     -290.4569
4crc_636     -209.1221
4crc_644     -182.5184
4crc_646     -186.6192
4crc_648     -182.6250
4crc_649     -221.0111
4crc_656     -150.2300
4crc_661     -200.4622
4crc_665     -203.3965
4crc_673     -217.4159
4crc_680     -181.7984
4crc_682     -155.4404
4crc_685     -134.7456
4crc_694     -158.3342
4crc_716     -240.7323
4crc_717     -259.3190
4crc_724     -247.1450
4crc_734     -207.9034
4crc_743     -212.2970
4crc_758     -204.7597
4crc_770     -185.7679
4crc_821     -208.0513
4crc_840     -270.7431
4crc_968     -198.6109
4crc_99      -215.5692
4crc_ligand  -259.2737
