#code        score   
4j21_119     -194.3051
4j21_18      -208.3282
4j21_190     -211.4793
4j21_270     -236.4513
4j21_30      -221.3032
4j21_352     -219.7903
4j21_37      -205.2907
4j21_375     -201.6155
4j21_393     -219.1012
4j21_428     -178.4683
4j21_430     -210.1403
4j21_438     -204.4645
4j21_442     -196.5785
4j21_444     -196.2138
4j21_447     -205.8746
4j21_453     -206.6872
4j21_456     -197.1425
4j21_462     -196.9337
4j21_463     -212.8465
4j21_471     -217.1223
4j21_475     -222.9987
4j21_478     -187.2633
4j21_479     -225.7489
4j21_483     -215.2718
4j21_485     -188.8112
4j21_489     -196.7087
4j21_490     -215.1268
4j21_493     -195.2990
4j21_499     -194.6207
4j21_50      -219.6700
4j21_514     -218.8072
4j21_524     -191.4831
4j21_535     -209.7220
4j21_540     -203.1570
4j21_553     -170.2330
4j21_559     -202.3255
4j21_569     -124.1361
4j21_572     -210.7998
4j21_574     -190.4211
4j21_575     -233.1699
4j21_577     -192.1390
4j21_582     -198.9858
4j21_594     -128.4439
4j21_597     -213.0917
4j21_620     -241.5366
4j21_625     -206.5136
4j21_627     -243.3599
4j21_645     -204.8053
4j21_678     -199.7828
4j21_680     -198.8818
4j21_686     -203.6159
4j21_688     -234.2245
4j21_730     -198.6625
4j21_731     -181.1356
4j21_734     -136.7692
4j21_735     -144.2472
4j21_736     -89.9079
4j21_740     -123.5794
4j21_741     -153.3864
4j21_751     -126.9712
4j21_752     -136.1965
4j21_753     -109.7775
4j21_754     -129.9944
4j21_755     -163.4037
4j21_756     -144.9328
4j21_757     -139.3713
4j21_761     -137.1421
4j21_762     -134.2187
4j21_763     -158.7799
4j21_765     -92.6747
4j21_767     -135.4063
4j21_768     -134.0233
4j21_770     -132.7049
4j21_771     -91.3797
4j21_774     -133.0717
4j21_775     -165.9033
4j21_780     -253.8839
4j21_804     -223.3621
4j21_827     -144.9833
4j21_830     -147.5373
4j21_839     -137.7544
4j21_842     -135.8584
4j21_846     -147.2339
4j21_848     -133.2263
4j21_849     -144.6791
4j21_856     -128.9702
4j21_86      -201.1841
4j21_869     -113.6718
4j21_876     -120.6401
4j21_952     -176.5373
4j21_955     -225.4352
4j21_967     -148.9148
4j21_ligand  -219.8998
