#code        score   
1h23_12      -4.3495798
1h23_138     69666.781
1h23_140     17.447298
1h23_163     1787.5197
1h23_185     10.002433
1h23_198     -5.9597239
1h23_205     -1.7763672
1h23_209     5.8760662
1h23_221     -3.6769314
1h23_238     -5.812572
1h23_24      -2.2604489
1h23_242     -2.4533384
1h23_253     -2.4947369
1h23_262     -6.255013
1h23_277     7.8212457
1h23_296     3.5127418
1h23_304     -4.5799007
1h23_335     -8.3162165
1h23_347     -8.875309
1h23_370     -1.8189785
1h23_377     4.7440543
1h23_403     755406.94
1h23_425     4397.5913
1h23_43      -5.6826668
1h23_432     55875.562
1h23_438     56145.109
1h23_451     11452496
1h23_471     1529.7166
1h23_476     8487.1807
1h23_496     18936.295
1h23_5       -2.8357134
1h23_549     119710.48
1h23_552     7043869.5
1h23_579     708.34033
1h23_584     81549.188
1h23_588     3242.3279
1h23_589     562977.94
1h23_590     200434.42
1h23_597     2657032.2
1h23_621     2.5868491e+008
1h23_640     15355612
1h23_641     80.737534
1h23_643     318.71237
1h23_648     579.48468
1h23_660     235224.61
1h23_663     109.13475
1h23_667     50603.57
1h23_669     865.01599
1h23_676     1689.1754
1h23_678     49923.207
1h23_686     90.38105
1h23_69      -5.5194583
1h23_699     16942.791
1h23_728     -8.6433678
1h23_732     -8.3361216
1h23_77      -5.0737605
1h23_783     -6.5942383
1h23_8       -0.24671476
1h23_81      52.387562
1h23_815     -8.9459219
1h23_818     -6.7646899
1h23_82      364.01694
1h23_88      -1.9531473
1h23_90      -4.9894514
1h23_913     -8.875349
1h23_921     -6.3326879
1h23_964     -8.606576
1h23_98      -5.2231541
1h23_99      -0.9784205
1h23_ligand  -9.9542265
