#code        score   
1yc1_130     4.3974395
1yc1_134     -2.8497531
1yc1_14      -4.7620382
1yc1_159     -7.6671791
1yc1_196     -5.9522443
1yc1_199     -6.2505431
1yc1_205     -7.3871241
1yc1_214     -6.7371964
1yc1_220     -7.0234094
1yc1_246     -6.0701447
1yc1_254     -5.5707669
1yc1_281     -4.657311
1yc1_289     -7.772439
1yc1_29      -7.3005786
1yc1_293     -7.1357689
1yc1_296     -3.6118529
1yc1_314     -1.1511594
1yc1_352     -5.263186
1yc1_376     -4.7224269
1yc1_38      -6.6749806
1yc1_401     113.8126
1yc1_403     1749.6342
1yc1_407     64.154243
1yc1_412     591.07928
1yc1_413     22371.873
1yc1_415     3.7157304
1yc1_421     4827.041
1yc1_428     1593.1416
1yc1_429     46.259041
1yc1_431     311.45636
1yc1_437     10.085898
1yc1_440     304.63998
1yc1_441     40.631317
1yc1_447     5929.5176
1yc1_471     11.996264
1yc1_480     21395136
1yc1_483     3751.5647
1yc1_485     11.96095
1yc1_486     2332.0144
1yc1_487     350.80505
1yc1_492     2043.7274
1yc1_496     1599765 
1yc1_5       -7.3082905
1yc1_512     1043.217
1yc1_516     49.012939
1yc1_521     364.32013
1yc1_523     273.50323
1yc1_528     12.582748
1yc1_536     0.32277653
1yc1_542     1590.4174
1yc1_546     3.9361305
1yc1_549     1646.6512
1yc1_557     976834.5
1yc1_564     120.5889
1yc1_570     22436.012
1yc1_573     384.74265
1yc1_581     47.61256
1yc1_582     88.245316
1yc1_584     18.46903
1yc1_610     226.43607
1yc1_612     65.214966
1yc1_616     345.45273
1yc1_622     3211.7676
1yc1_630     46801092
1yc1_634     438.72348
1yc1_635     9.157855
1yc1_636     38.009651
1yc1_642     44372.996
1yc1_644     48716.18
1yc1_653     1142.8613
1yc1_663     29.292124
1yc1_680     428.698 
1yc1_684     4321848.5
1yc1_687     34.834911
1yc1_688     540.00677
1yc1_689     2242.9834
1yc1_691     5430.6504
1yc1_700     179.80724
1yc1_765     -3.8467646
1yc1_784     -6.0588598
1yc1_ligand  -7.7117558
