#code        score   
2qbr_1000    -6.2042766
2qbr_121     -1.5388286
2qbr_157     33.356285
2qbr_170     -1.6865394
2qbr_197     86.036194
2qbr_20      -5.483429
2qbr_201     -5.1561861
2qbr_259     -4.2271843
2qbr_270     -5.2913194
2qbr_282     -4.1977224
2qbr_293     -3.508388
2qbr_301     -4.2871513
2qbr_353     -2.7259874
2qbr_375     -4.8706055
2qbr_385     -5.8883538
2qbr_394     -0.96830225
2qbr_402     1940.8644
2qbr_409     778.56689
2qbr_410     152.76347
2qbr_424     265.9754
2qbr_427     120.8382
2qbr_428     1502970.2
2qbr_429     20005.184
2qbr_432     11841.791
2qbr_439     315.77359
2qbr_445     247.64113
2qbr_447     74.382767
2qbr_45      -3.9334097
2qbr_450     1864.1179
2qbr_455     86323728
2qbr_469     56332984
2qbr_473     1077.2687
2qbr_474     435.80588
2qbr_486     10499677
2qbr_487     1005.7135
2qbr_488     33572.145
2qbr_497     153.3107
2qbr_514     207.90158
2qbr_516     2338.406
2qbr_517     130.03058
2qbr_522     693.70215
2qbr_523     810.99725
2qbr_526     3227.1084
2qbr_527     197.14755
2qbr_532     2221.812
2qbr_536     3618.2976
2qbr_555     482.65552
2qbr_563     66.10392
2qbr_566     2739.0957
2qbr_573     232.0024
2qbr_582     161.12025
2qbr_583     416.20581
2qbr_590     6597.7759
2qbr_593     6295018 
2qbr_595     2524.4172
2qbr_61      -4.9625468
2qbr_617     1329152.6
2qbr_629     350.04279
2qbr_633     160.71558
2qbr_639     -2.0888557
2qbr_645     21132.375
2qbr_647     177.51588
2qbr_656     249.05301
2qbr_663     8.9461536
2qbr_667     8640.5908
2qbr_677     18730.67
2qbr_689     0.060147926
2qbr_690     4509.4863
2qbr_699     208.01967
2qbr_764     -5.7059598
2qbr_765     -5.4893312
2qbr_767     -5.4946723
2qbr_771     -6.1222239
2qbr_777     -1.7600394
2qbr_778     -7.0281029
2qbr_780     -6.7909751
2qbr_782     -2.2802057
2qbr_790     -5.7001777
2qbr_796     -6.1730447
2qbr_797     -5.4167852
2qbr_798     -4.6613894
2qbr_799     -5.5140123
2qbr_802     -5.3183951
2qbr_81      -3.8475692
2qbr_821     -5.2707558
2qbr_856     -6.8346415
2qbr_875     -4.7440934
2qbr_887     -6.5832624
2qbr_895     -2.5455487
2qbr_900     -5.5633249
2qbr_ligand  -5.6998682
