#code        score   
2wer_112     -5.7113652
2wer_123     3.1712072
2wer_170     -4.6866765
2wer_177     -4.4797974
2wer_337     -3.8782272
2wer_345     -6.4838562
2wer_390     -6.5697174
2wer_403     4498.4619
2wer_404     43071.809
2wer_414     33005.957
2wer_419     5923.4106
2wer_422     34.434719
2wer_424     230.38016
2wer_426     7320380 
2wer_437     23929.836
2wer_439     547.36932
2wer_441     3823472.2
2wer_442     62.63583
2wer_445     3156225 
2wer_447     1797.3677
2wer_459     633363.81
2wer_460     97258.32
2wer_463     164.41553
2wer_473     63377764
2wer_478     1.3883578e+008
2wer_479     3137.5513
2wer_485     634.81854
2wer_486     949.34705
2wer_489     10238.614
2wer_557     1635.7162
2wer_57      1.1631218
2wer_570     51590.664
2wer_580     84.065437
2wer_581     210.40268
2wer_589     213.2628
2wer_596     149.02756
2wer_646     73.543938
2wer_658     214.98975
2wer_663     145.21805
2wer_669     211.52068
2wer_676     2248.6831
2wer_678     1294.9421
2wer_688     2974.8984
2wer_697     56.200989
2wer_719     -1.1345174
2wer_728     1.2736492
2wer_73      -6.4915123
2wer_737     -3.6927893
2wer_739     -3.6808765
2wer_740     -3.4962692
2wer_743     -3.9023721
2wer_745     -3.7937059
2wer_751     -2.9860845
2wer_752     -3.2986364
2wer_759     -2.8057678
2wer_763     -3.885386
2wer_764     -3.8496079
2wer_765     -3.2996902
2wer_767     -3.688503
2wer_768     -0.84061038
2wer_769     -3.2010968
2wer_773     38.402554
2wer_774     -1.6393932
2wer_775     67.10257
2wer_777     14.531499
2wer_779     -6.1506033
2wer_790     -5.0642734
2wer_792     -3.5175209
2wer_810     -2.2576663
2wer_812     -1.5719031
2wer_838     -3.5788529
2wer_853     -3.5943675
2wer_858     -4.2754464
2wer_866     -3.5067713
2wer_88      -5.0044346
2wer_888     -4.087831
2wer_899     -2.2145863
2wer_920     -3.903208
2wer_934     -4.7678342
2wer_935     -3.1909728
2wer_941     -4.6092687
2wer_944     -4.2904592
2wer_952     -4.8541083
2wer_957     -4.4792356
2wer_ligand  -6.3691182
