#code        score   
3ebp_249     -4.8857284
3ebp_251     -2.8777466
3ebp_261     -4.800704
3ebp_268     -3.8355474
3ebp_340     -6.3293514
3ebp_347     -4.8687129
3ebp_35      -2.1298847
3ebp_363     8.4302988
3ebp_396     -4.829339
3ebp_4       -4.573689
3ebp_411     1.6443818e+009
3ebp_425     310823.66
3ebp_433     7868.0811
3ebp_447     421370.19
3ebp_464     2.0344736e+010
3ebp_467     88.34626
3ebp_473     1536.6182
3ebp_476     4.6649002e+008
3ebp_493     7.9502778e+008
3ebp_495     246220.59
3ebp_496     38728.59
3ebp_497     2746.6423
3ebp_509     345.27335
3ebp_524     70.882271
3ebp_533     46.36953
3ebp_538     56.695255
3ebp_539     16887.52
3ebp_540     350.84161
3ebp_548     15951.685
3ebp_550     7757.0742
3ebp_553     1919.9163
3ebp_577     1327.699
3ebp_584     76056.172
3ebp_59      -1.6440079
3ebp_597     414.60626
3ebp_607     157.07753
3ebp_611     14.170569
3ebp_627     22.038244
3ebp_632     23404.582
3ebp_658     18.382288
3ebp_676     13.635123
3ebp_686     3.0428433
3ebp_690     2043.2914
3ebp_691     14247.318
3ebp_696     9895.9639
3ebp_699     3.7375007
3ebp_7       -3.2116537
3ebp_713     -6.2181649
3ebp_714     -6.3342338
3ebp_715     -5.7685089
3ebp_720     -4.5613461
3ebp_721     -6.0339208
3ebp_730     -4.6824193
3ebp_732     -5.3266854
3ebp_737     -5.6527066
3ebp_740     -3.5185828
3ebp_741     0.22352685
3ebp_761     -4.900166
3ebp_768     -2.8988469
3ebp_771     -4.6636739
3ebp_774     0.98157877
3ebp_777     -4.1206465
3ebp_779     -3.9928517
3ebp_783     4.3728671
3ebp_784     34.047249
3ebp_790     222.77048
3ebp_792     25.257063
3ebp_800     184816.94
3ebp_844     -5.888526
3ebp_884     0.73244935
3ebp_90      -2.2890763
3ebp_ligand  -6.419148
