#code        score   
3gbb_213     -5.9001589
3gbb_278     -6.1456041
3gbb_304     -7.3746567
3gbb_317     -7.8135056
3gbb_405     26.835169
3gbb_407     26.770531
3gbb_418     249.08052
3gbb_421     24.492107
3gbb_427     -2.806803
3gbb_445     99.977417
3gbb_449     5.4850569
3gbb_458     126486.74
3gbb_460     72.777596
3gbb_468     112.49022
3gbb_473     373.5932
3gbb_482     84.879211
3gbb_483     6415.1177
3gbb_489     1595.7401
3gbb_498     286.69467
3gbb_503     35.872055
3gbb_509     35984.605
3gbb_510     19.974293
3gbb_512     155.96413
3gbb_523     20.857777
3gbb_559     1122.4734
3gbb_564     43.620045
3gbb_596     45.343952
3gbb_616     190.83791
3gbb_619     7711.9497
3gbb_621     18.027596
3gbb_625     9.4583788
3gbb_627     272.54056
3gbb_646     2695.6406
3gbb_648     46.206211
3gbb_650     927.86914
3gbb_655     209.23894
3gbb_666     4573.939
3gbb_673     63.111485
3gbb_678     123.75593
3gbb_683     399.09494
3gbb_693     189.17654
3gbb_697     20.492033
3gbb_715     3.0824592
3gbb_717     3.1507194
3gbb_728     -3.0579689
3gbb_781     3.3778071
3gbb_783     0.959705
3gbb_796     73.588722
3gbb_814     -6.4427366
3gbb_845     -4.3331289
3gbb_893     -2.9582906
3gbb_ligand  -7.1586394
