#code        score   
3jvs_206     -1.0844344
3jvs_226     0.066554174
3jvs_229     0.43494567
3jvs_234     2.5981145
3jvs_235     10.36774
3jvs_246     1.2206988
3jvs_253     -0.96853364
3jvs_269     6.6218643
3jvs_275     -1.8562763
3jvs_299     0.084129967
3jvs_377     -3.7710288
3jvs_405     112.30174
3jvs_411     1613.7524
3jvs_419     315001.78
3jvs_424     26392.914
3jvs_426     96.379036
3jvs_435     14.128464
3jvs_441     723.5141
3jvs_443     873.06787
3jvs_449     7125.749
3jvs_454     474823.16
3jvs_467     235.79895
3jvs_469     68507.922
3jvs_483     37330.27
3jvs_489     759.88922
3jvs_490     1744.0177
3jvs_492     661.35162
3jvs_502     -0.53114212
3jvs_513     17039.521
3jvs_524     199.02278
3jvs_546     2.0391228
3jvs_555     151.80858
3jvs_56      1.3907846e+009
3jvs_583     8.0024405
3jvs_587     83.495277
3jvs_593     6145.5679
3jvs_613     0.46298659
3jvs_614     20060686
3jvs_616     194.49899
3jvs_617     362.02402
3jvs_623     289.4874
3jvs_626     97092.992
3jvs_640     -0.10440195
3jvs_642     55703.203
3jvs_651     299.42801
3jvs_658     6.6663928
3jvs_666     0.94886661
3jvs_680     983.9007
3jvs_688     7.9813738
3jvs_694     81.231071
3jvs_698     58.370041
3jvs_703     -5.4440794
3jvs_707     -4.5650754
3jvs_740     -4.4447565
3jvs_742     -4.3675151
3jvs_758     -3.7859075
3jvs_762     -3.6657743
3jvs_769     -3.5359864
3jvs_785     -4.543539
3jvs_800     -4.5730524
3jvs_804     -3.8427186
3jvs_806     -4.4134088
3jvs_812     -4.4470034
3jvs_815     -2.9644215
3jvs_817     -4.1315141
3jvs_82      6.3894453
3jvs_822     -3.9078634
3jvs_824     -4.215785
3jvs_830     -4.7499738
3jvs_831     -3.7495599
3jvs_832     -0.81569618
3jvs_838     -2.9272499
3jvs_840     -4.8208427
3jvs_846     -4.6660476
3jvs_847     -4.0464668
3jvs_856     -3.609797
3jvs_860     -4.7680502
3jvs_867     -4.6858244
3jvs_868     -5.1904573
3jvs_869     -4.3643713
3jvs_884     -5.3449473
3jvs_895     -5.9975677
3jvs_897     -6.3368115
3jvs_9       7.1944661
3jvs_904     -5.2089725
3jvs_916     -5.6598992
3jvs_957     -4.9207292
3jvs_963     12.610509
3jvs_973     -3.7311401
3jvs_ligand  -3.540575
