#code        score   
3kgp_20      -4.1802278
3kgp_31      -4.7488122
3kgp_408     -2.3938775
3kgp_420     7.1820898
3kgp_431     4.9568858
3kgp_434     27.474083
3kgp_457     1484700.6
3kgp_465     819.06769
3kgp_475     183.5184
3kgp_477     35587.5 
3kgp_483     80.448822
3kgp_491     70.863586
3kgp_492     113.00834
3kgp_493     326791.19
3kgp_496     -1.8993692
3kgp_5       -4.4047413
3kgp_504     -2.9467757
3kgp_507     4.1635876
3kgp_511     -3.6071372
3kgp_523     -0.878254
3kgp_524     -3.0484767
3kgp_528     338.80328
3kgp_532     0.60193014
3kgp_533     1627.804
3kgp_541     0.40878427
3kgp_547     28.802591
3kgp_551     148.49995
3kgp_568     -0.68921399
3kgp_573     261.7356
3kgp_574     31.858595
3kgp_591     -2.0988491
3kgp_596     558.71149
3kgp_600     33.459915
3kgp_610     27.774357
3kgp_657     2.4218946
3kgp_661     15.86688
3kgp_687     4.2827334
3kgp_693     10.706075
3kgp_696     38.675388
3kgp_700     -2.3927786
3kgp_715     -1.7164279
3kgp_745     -4.4774361
3kgp_750     -4.2581315
3kgp_757     -4.5694766
3kgp_763     -3.6001196
3kgp_768     -1.9779543
3kgp_771     -2.0322118
3kgp_776     -3.6652329
3kgp_777     2.8884246
3kgp_778     -3.6827209
3kgp_780     -3.5464122
3kgp_782     -3.1904738
3kgp_783     -3.4276235
3kgp_784     -3.1916909
3kgp_785     -2.9830906
3kgp_786     -3.1279259
3kgp_787     1.622943
3kgp_788     -3.0726595
3kgp_789     -3.0700135
3kgp_790     -2.4484057
3kgp_791     -3.2226152
3kgp_792     -3.2902503
3kgp_796     -2.7344398
3kgp_798     -2.97297
3kgp_799     53.573669
3kgp_ligand  -4.0614762
