#code        score   
3o9i_12      -8.0815563
3o9i_130     64.671791
3o9i_135     20.305965
3o9i_141     482.10623
3o9i_164     70.658257
3o9i_178     1340.3663
3o9i_201     -6.7161531
3o9i_213     -8.8154001
3o9i_215     -5.7566881
3o9i_219     39.553989
3o9i_222     -6.7878685
3o9i_227     -8.4462099
3o9i_228     110.69521
3o9i_229     -0.18613422
3o9i_234     -5.0537982
3o9i_243     9.6131325
3o9i_246     -4.1837344
3o9i_249     -6.4879179
3o9i_253     3.2571867
3o9i_255     -4.8832269
3o9i_256     -7.7575369
3o9i_257     43.784916
3o9i_26      -0.33975348
3o9i_260     -3.3787868
3o9i_270     -2.2992401
3o9i_274     6.8428693
3o9i_275     -7.078886
3o9i_276     -4.0607872
3o9i_28      -1.3003772
3o9i_283     15.933067
3o9i_284     -2.4010987
3o9i_286     -2.9786325
3o9i_288     0.88777715
3o9i_29      5.7513704
3o9i_292     -0.24942885
3o9i_294     12.79514
3o9i_295     161.12115
3o9i_298     6.9359713
3o9i_30      -8.3888092
3o9i_303     -0.05804019
3o9i_314     -1.2428218
3o9i_318     4.2149844
3o9i_340     16.243193
3o9i_358     135.78365
3o9i_359     -6.5870948
3o9i_38      684.89435
3o9i_402     460381.56
3o9i_403     414.15097
3o9i_407     17200.486
3o9i_408     4287214 
3o9i_409     483.50867
3o9i_415     30239488
3o9i_417     1940869.1
3o9i_42      391.18756
3o9i_424     1.5477236e+010
3o9i_435     4.5653898e+008
3o9i_452     70091.57
3o9i_454     27979.328
3o9i_459     2955334 
3o9i_461     15822.296
3o9i_466     3.1005553e+009
3o9i_467     9.0643816e+010
3o9i_469     5465482 
3o9i_479     19916.504
3o9i_487     22615.152
3o9i_495     1051475.5
3o9i_496     4.1417019e+010
3o9i_500     264844.44
3o9i_505     3303.5432
3o9i_509     5415704 
3o9i_525     274355.44
3o9i_535     15762.282
3o9i_539     12438.755
3o9i_546     40005.902
3o9i_557     185035.64
3o9i_569     10562.189
3o9i_574     51597.18
3o9i_585     5965.291
3o9i_59      14.285848
3o9i_600     18483.477
3o9i_607     10017.928
3o9i_617     4692.5293
3o9i_624     4.8390822e+008
3o9i_661     30899.395
3o9i_674     3496.5649
3o9i_675     25443.557
3o9i_678     37738.457
3o9i_687     8571425 
3o9i_692     1533.5981
3o9i_714     -6.219305
3o9i_766     -0.11281696
3o9i_788     36.770885
3o9i_795     48.263954
3o9i_859     -6.5968418
3o9i_860     216.69128
3o9i_861     -5.042994
3o9i_893     -5.845253
3o9i_9       -2.9342604
3o9i_907     -7.7590137
3o9i_96      18.748144
3o9i_ligand  -10.269378
