#code        score   
4m0y_214     -5.0160418
4m0y_224     -3.9573472
4m0y_232     -4.2023554
4m0y_252     -4.7489238
4m0y_336     -5.3479438
4m0y_407     8.1173506
4m0y_410     169.25963
4m0y_416     0.26976213
4m0y_426     54.998215
4m0y_448     1221.4143
4m0y_461     65331.203
4m0y_467     108954.2
4m0y_476     35481.164
4m0y_485     -2.5395133
4m0y_488     0.430105
4m0y_493     7564.7222
4m0y_509     51.649906
4m0y_512     26.98558
4m0y_513     -3.4526362
4m0y_514     8.6012793
4m0y_524     16.455877
4m0y_525     32.803993
4m0y_532     3.1636908
4m0y_534     53.256599
4m0y_537     428.75058
4m0y_544     11.147422
4m0y_545     29.118917
4m0y_546     24.30545
4m0y_547     19.208517
4m0y_549     9.9979029
4m0y_558     8.7061129
4m0y_561     250.58221
4m0y_567     850.77972
4m0y_570     141.50574
4m0y_574     44.873608
4m0y_586     14.437995
4m0y_589     1.0945117
4m0y_591     9.5967684
4m0y_592     1.9403504
4m0y_598     5.4502149
4m0y_601     10.296965
4m0y_610     0.88682544
4m0y_619     2107.5076
4m0y_631     13.698761
4m0y_646     2.2995181
4m0y_655     -3.2193849
4m0y_659     35546548
4m0y_662     27.204409
4m0y_669     2002.9121
4m0y_682     124617.68
4m0y_684     125.74055
4m0y_686     16.877693
4m0y_697     27.538027
4m0y_739     -5.1981096
4m0y_740     -5.2243018
4m0y_743     -4.2128673
4m0y_748     -4.3455172
4m0y_750     -4.371408
4m0y_752     -4.2402053
4m0y_753     -4.8547277
4m0y_756     -5.7356758
4m0y_757     -4.1546102
4m0y_758     -4.9183812
4m0y_759     -4.6585984
4m0y_767     -2.4747612
4m0y_814     -5.5070949
4m0y_822     -5.4409947
4m0y_827     2.8737211
4m0y_839     87.754654
4m0y_846     -4.8554144
4m0y_856     -5.0486031
4m0y_863     -4.773284
4m0y_873     -5.3555036
4m0y_883     -5.0181189
4m0y_907     -5.3882613
4m0y_920     -4.9388471
4m0y_922     -0.52667481
4m0y_923     -2.0867481
4m0y_951     2.570353
4m0y_952     14.020061
4m0y_ligand  -5.9515533
