#code        score   
4owm_109     883.1098
4owm_114     29.612265
4owm_135     -3.7608016
4owm_148     55.804726
4owm_16      -1.9359726
4owm_163     -3.12395
4owm_215     -2.7332017
4owm_216     -3.7731979
4owm_223     -2.4223769
4owm_228     -2.2175825
4owm_230     -1.9120592
4owm_232     -2.3785527
4owm_243     -4.143137
4owm_260     -3.7354259
4owm_270     -3.3663383
4owm_272     -3.5142119
4owm_278     -3.9205673
4owm_280     -3.5220973
4owm_287     -3.6974318
4owm_293     -2.4067678
4owm_299     -3.6471372
4owm_305     -2.0635476
4owm_329     -3.5187507
4owm_346     -3.5121489
4owm_362     -4.0899358
4owm_366     -3.1321704
4owm_378     -4.2794781
4owm_389     -4.374949
4owm_392     -4.2104907
4owm_397     -3.4373012
4owm_407     15.97386
4owm_427     0.65955502
4owm_430     13.215278
4owm_437     13.317008
4owm_440     51.973686
4owm_455     340.98703
4owm_461     1172.744
4owm_463     -3.5935121
4owm_465     -1.4573261
4owm_475     -1.5964801
4owm_482     -0.98365343
4owm_484     -2.4699559
4owm_493     16.603897
4owm_501     -4.2142339
4owm_506     -3.9857125
4owm_509     0.039095275
4owm_517     -3.3760002
4owm_534     1.1791582
4owm_542     -1.8894784
4owm_554     3.4626858
4owm_556     33.167789
4owm_561     18.646664
4owm_571     51.535801
4owm_572     -3.4520032
4owm_574     -3.0160103
4owm_575     -2.599838
4owm_576     -3.186501
4owm_579     -2.9969251
4owm_582     -0.18891464
4owm_583     -0.68144274
4owm_584     381.06461
4owm_595     409.16101
4owm_619     -2.2002597
4owm_626     159.17654
4owm_629     0.87126237
4owm_637     1.4431132
4owm_639     -0.60524863
4owm_648     4.3788972
4owm_661     -1.7637676
4owm_663     0.81475377
4owm_670     2.9889076
4owm_671     2680.4663
4owm_674     -1.1659545
4owm_689     -1.1539744
4owm_695     -3.2736127
4owm_742     -2.9402671
4owm_760     -3.2255826
4owm_768     -2.7908854
4owm_774     -2.724751
4owm_779     -3.4744864
4owm_780     -3.2752545
4owm_849     -2.5066669
4owm_851     -3.4101608
4owm_860     -3.471179
4owm_872     -3.455478
4owm_874     -3.3292327
4owm_ligand  -4.1934285
