#code        score   
5c2h_119     18.813375
5c2h_160     -2.0279939
5c2h_204     -4.8220148
5c2h_216     -5.869277
5c2h_240     -7.0469966
5c2h_244     -7.653656
5c2h_247     -7.2281981
5c2h_251     -2.8509417
5c2h_252     -5.2888741
5c2h_256     -5.8687863
5c2h_259     -7.1626363
5c2h_274     -7.0806236
5c2h_292     -5.869607
5c2h_295     -4.7148108
5c2h_308     4.584569
5c2h_352     -6.9897146
5c2h_394     -0.43184069
5c2h_405     341.10034
5c2h_406     357179.72
5c2h_421     1112.1736
5c2h_424     4597.7651
5c2h_427     10143.452
5c2h_431     384508.66
5c2h_432     769.51001
5c2h_444     17814.729
5c2h_457     7736.1543
5c2h_462     91.55027
5c2h_467     119200.58
5c2h_471     760.55011
5c2h_475     2.4570123e+008
5c2h_48      -2.6829641
5c2h_481     833810.5
5c2h_482     35130.918
5c2h_484     69859.055
5c2h_486     2610871 
5c2h_496     13038477
5c2h_500     43578.371
5c2h_507     787.06525
5c2h_509     2060.6672
5c2h_513     199.25214
5c2h_516     352.81464
5c2h_517     287.04703
5c2h_519     926942  
5c2h_520     677.9187
5c2h_524     1305277.9
5c2h_533     1603.0275
5c2h_536     5518450 
5c2h_537     2776.2134
5c2h_544     25.313759
5c2h_545     170.19377
5c2h_547     33.423714
5c2h_548     59677.832
5c2h_553     20930.42
5c2h_561     -0.25848001
5c2h_565     690.16583
5c2h_566     34.755016
5c2h_572     31852.266
5c2h_575     3785.3279
5c2h_576     420.77078
5c2h_579     2361.1792
5c2h_585     1064834.1
5c2h_597     383.72903
5c2h_599     834470.06
5c2h_602     2337.1392
5c2h_608     11218.355
5c2h_611     182.03578
5c2h_613     421.24173
5c2h_624     395.55365
5c2h_627     161.59451
5c2h_640     2178.3645
5c2h_641     5491.6396
5c2h_644     2371.3503
5c2h_646     957.16901
5c2h_649     12244.325
5c2h_651     1.8405154e+008
5c2h_653     158203.44
5c2h_657     43.291374
5c2h_663     350.34656
5c2h_666     16083199
5c2h_682     12688.202
5c2h_686     1011.8646
5c2h_696     100990.6
5c2h_697     -4.6170402
5c2h_698     17.216137
5c2h_700     2.7173934
5c2h_756     -4.7020917
5c2h_758     -3.7628603
5c2h_764     10.577118
5c2h_775     29.849699
5c2h_816     -5.6168704
5c2h_831     -4.9207382
5c2h_848     -5.1292305
5c2h_860     -1.7432882
5c2h_89      1.6800263
5c2h_910     -6.5183234
5c2h_922     -6.7759275
5c2h_940     -5.5820885
5c2h_ligand  -8.1796694
