#code        score   
2y5h_109     10000.000
2y5h_111     10000.000
2y5h_112     10000.000
2y5h_116     10000.000
2y5h_119     -6.874  
2y5h_125     -4.538  
2y5h_134     10000.000
2y5h_137     -2.373  
2y5h_144     10000.000
2y5h_156     -1.550  
2y5h_158     -3.285  
2y5h_162     10000.000
2y5h_165     10000.000
2y5h_178     -1.698  
2y5h_195     -2.194  
2y5h_196     10000.000
2y5h_198     10000.000
2y5h_284     -8.786  
2y5h_329     -4.898  
2y5h_342     -4.393  
2y5h_345     -4.237  
2y5h_355     -3.646  
2y5h_364     -7.066  
2y5h_387     10000.000
2y5h_388     -3.528  
2y5h_389     -8.459  
2y5h_391     -9.132  
2y5h_394     -7.101  
2y5h_405     10000.000
2y5h_406     10000.000
2y5h_41      10000.000
2y5h_410     10000.000
2y5h_413     10000.000
2y5h_414     10000.000
2y5h_416     10000.000
2y5h_420     10000.000
2y5h_422     10000.000
2y5h_432     10000.000
2y5h_436     10000.000
2y5h_441     10000.000
2y5h_446     10000.000
2y5h_449     10000.000
2y5h_450     10000.000
2y5h_463     10000.000
2y5h_468     10000.000
2y5h_481     10000.000
2y5h_483     10000.000
2y5h_487     10000.000
2y5h_494     10000.000
2y5h_498     10000.000
2y5h_50      10000.000
2y5h_518     10000.000
2y5h_520     10000.000
2y5h_521     10000.000
2y5h_540     10000.000
2y5h_549     10000.000
2y5h_554     10000.000
2y5h_56      10000.000
2y5h_580     10000.000
2y5h_599     10000.000
2y5h_612     10000.000
2y5h_614     10000.000
2y5h_616     10000.000
2y5h_620     10000.000
2y5h_624     10000.000
2y5h_630     10000.000
2y5h_638     10000.000
2y5h_641     10000.000
2y5h_644     10000.000
2y5h_646     10000.000
2y5h_658     10000.000
2y5h_679     10000.000
2y5h_694     10000.000
2y5h_696     10000.000
2y5h_703     -9.273  
2y5h_705     -5.456  
2y5h_710     -8.141  
2y5h_751     -3.479  
2y5h_757     10000.000
2y5h_762     -5.689  
2y5h_765     -4.088  
2y5h_768     10000.000
2y5h_777     -3.350  
2y5h_795     -7.902  
2y5h_803     -5.684  
2y5h_831     -3.676  
2y5h_85      10000.000
2y5h_866     -5.218  
2y5h_870     -5.219  
2y5h_885     -3.779  
2y5h_948     -2.706  
2y5h_955     -4.056  
2y5h_958     10000.000
2y5h_973     -3.721  
2y5h_ligand  -9.171  
