#code        score   
2yfe_115     -6.476  
2yfe_123     10000.000
2yfe_176     10000.000
2yfe_23      -7.794  
2yfe_232     -6.404  
2yfe_236     -5.876  
2yfe_240     -5.924  
2yfe_257     -7.299  
2yfe_286     -7.302  
2yfe_4       -7.499  
2yfe_414     10000.000
2yfe_426     10000.000
2yfe_437     10000.000
2yfe_450     10000.000
2yfe_453     10000.000
2yfe_458     10000.000
2yfe_461     10000.000
2yfe_462     10000.000
2yfe_464     10000.000
2yfe_466     10000.000
2yfe_467     10000.000
2yfe_470     10000.000
2yfe_473     10000.000
2yfe_487     10000.000
2yfe_489     10000.000
2yfe_490     10000.000
2yfe_491     10000.000
2yfe_492     10000.000
2yfe_493     10000.000
2yfe_496     10000.000
2yfe_502     10000.000
2yfe_504     10000.000
2yfe_517     10000.000
2yfe_52      -7.916  
2yfe_523     10000.000
2yfe_53      -7.741  
2yfe_538     10000.000
2yfe_545     10000.000
2yfe_547     10000.000
2yfe_548     10000.000
2yfe_552     10000.000
2yfe_561     10000.000
2yfe_564     10000.000
2yfe_565     10000.000
2yfe_572     10000.000
2yfe_574     10000.000
2yfe_591     10000.000
2yfe_597     10000.000
2yfe_599     10000.000
2yfe_601     10000.000
2yfe_603     10000.000
2yfe_608     10000.000
2yfe_618     10000.000
2yfe_627     10000.000
2yfe_637     10000.000
2yfe_641     10000.000
2yfe_656     10000.000
2yfe_657     10000.000
2yfe_659     10000.000
2yfe_660     10000.000
2yfe_667     10000.000
2yfe_680     10000.000
2yfe_682     10000.000
2yfe_688     10000.000
2yfe_694     10000.000
2yfe_71      -7.566  
2yfe_722     -6.702  
2yfe_724     -6.894  
2yfe_732     -5.172  
2yfe_737     10000.000
2yfe_745     -5.670  
2yfe_748     10000.000
2yfe_753     -2.521  
2yfe_774     -4.253  
2yfe_784     -5.832  
2yfe_800     -4.650  
2yfe_809     -4.620  
2yfe_81      -7.197  
2yfe_813     -4.653  
2yfe_815     -4.617  
2yfe_851     -6.499  
2yfe_931     -4.271  
2yfe_943     -5.497  
2yfe_950     -4.853  
2yfe_960     -7.086  
2yfe_965     -4.611  
2yfe_969     -4.365  
2yfe_971     -5.644  
2yfe_973     -3.864  
2yfe_985     -5.891  
2yfe_ligand  -7.520  
