#code        score   
3e93_108     10000.000
3e93_124     10000.000
3e93_128     10000.000
3e93_130     10000.000
3e93_141     -11.125 
3e93_155     10000.000
3e93_168     10000.000
3e93_179     10000.000
3e93_240     10000.000
3e93_301     -11.343 
3e93_323     10000.000
3e93_352     10000.000
3e93_36      10000.000
3e93_390     -8.993  
3e93_401     10000.000
3e93_407     10000.000
3e93_417     10000.000
3e93_419     10000.000
3e93_421     10000.000
3e93_427     10000.000
3e93_433     10000.000
3e93_435     10000.000
3e93_439     10000.000
3e93_440     10000.000
3e93_445     10000.000
3e93_446     10000.000
3e93_453     10000.000
3e93_454     10000.000
3e93_455     10000.000
3e93_459     10000.000
3e93_461     10000.000
3e93_464     10000.000
3e93_466     10000.000
3e93_467     10000.000
3e93_468     10000.000
3e93_476     10000.000
3e93_477     10000.000
3e93_480     10000.000
3e93_484     10000.000
3e93_485     10000.000
3e93_491     10000.000
3e93_494     10000.000
3e93_500     10000.000
3e93_51      -10.120 
3e93_511     10000.000
3e93_518     10000.000
3e93_520     10000.000
3e93_522     10000.000
3e93_523     10000.000
3e93_530     10000.000
3e93_536     10000.000
3e93_543     10000.000
3e93_552     10000.000
3e93_555     10000.000
3e93_560     10000.000
3e93_562     10000.000
3e93_565     10000.000
3e93_566     10000.000
3e93_571     10000.000
3e93_573     10000.000
3e93_575     10000.000
3e93_576     10000.000
3e93_579     10000.000
3e93_581     10000.000
3e93_584     10000.000
3e93_589     10000.000
3e93_607     10000.000
3e93_636     10000.000
3e93_643     10000.000
3e93_646     10000.000
3e93_651     10000.000
3e93_654     10000.000
3e93_657     10000.000
3e93_660     10000.000
3e93_661     10000.000
3e93_664     10000.000
3e93_669     10000.000
3e93_673     10000.000
3e93_678     10000.000
3e93_684     10000.000
3e93_696     10000.000
3e93_698     10000.000
3e93_7       10000.000
3e93_81      -8.303  
3e93_813     -10.813 
3e93_821     10000.000
3e93_822     10000.000
3e93_823     10000.000
3e93_824     10000.000
3e93_833     10000.000
3e93_835     10000.000
3e93_836     10000.000
3e93_837     10000.000
3e93_840     10000.000
3e93_841     10000.000
3e93_901     -9.008  
3e93_ligand  -11.753 
