#code        score   
3myg_104     10000.000
3myg_110     10000.000
3myg_115     -3.656  
3myg_140     -6.323  
3myg_159     -3.393  
3myg_162     -4.996  
3myg_181     -5.545  
3myg_198     -3.723  
3myg_225     -6.767  
3myg_31      -4.898  
3myg_333     -8.391  
3myg_370     -2.608  
3myg_407     10000.000
3myg_410     10000.000
3myg_422     10000.000
3myg_427     10000.000
3myg_435     10000.000
3myg_438     10000.000
3myg_447     10000.000
3myg_456     10000.000
3myg_459     10000.000
3myg_462     10000.000
3myg_463     10000.000
3myg_470     10000.000
3myg_472     10000.000
3myg_475     10000.000
3myg_476     10000.000
3myg_480     10000.000
3myg_483     10000.000
3myg_498     10000.000
3myg_500     10000.000
3myg_504     10000.000
3myg_526     10000.000
3myg_542     10000.000
3myg_548     10000.000
3myg_550     -1.260  
3myg_551     10000.000
3myg_561     10000.000
3myg_574     10000.000
3myg_577     0.400   
3myg_582     10000.000
3myg_588     10000.000
3myg_589     10000.000
3myg_591     10000.000
3myg_600     10000.000
3myg_613     10000.000
3myg_644     10000.000
3myg_665     10000.000
3myg_667     10000.000
3myg_684     10000.000
3myg_693     10000.000
3myg_695     10000.000
3myg_699     10000.000
3myg_703     -7.484  
3myg_714     -6.806  
3myg_725     -6.745  
3myg_729     -6.942  
3myg_733     -7.141  
3myg_737     -4.939  
3myg_741     -4.543  
3myg_743     -3.970  
3myg_745     -3.559  
3myg_756     -4.054  
3myg_761     -4.925  
3myg_762     -2.669  
3myg_764     -1.576  
3myg_767     -3.287  
3myg_768     10000.000
3myg_769     -1.793  
3myg_780     10000.000
3myg_782     10000.000
3myg_783     10000.000
3myg_784     -1.870  
3myg_788     10000.000
3myg_792     10000.000
3myg_794     10000.000
3myg_803     -7.277  
3myg_840     -6.563  
3myg_841     -4.145  
3myg_846     -3.357  
3myg_850     -3.850  
3myg_867     -5.546  
3myg_875     -3.463  
3myg_882     -3.197  
3myg_884     -2.737  
3myg_886     -3.755  
3myg_887     -2.301  
3myg_890     10000.000
3myg_894     -2.577  
3myg_900     -8.258  
3myg_902     -8.042  
3myg_905     -8.055  
3myg_913     -8.212  
3myg_923     -7.544  
3myg_925     -6.017  
3myg_947     -6.186  
3myg_965     -6.789  
3myg_974     -3.937  
3myg_980     -4.000  
3myg_994     -2.982  
3myg_ligand  -6.458  
