#code        score   
3u9q_133     10000.000
3u9q_158     10000.000
3u9q_22      10000.000
3u9q_234     0.596   
3u9q_238     0.227   
3u9q_252     1.226   
3u9q_268     0.779   
3u9q_273     1.585   
3u9q_278     0.569   
3u9q_282     1.651   
3u9q_286     0.508   
3u9q_291     0.703   
3u9q_355     0.037   
3u9q_363     0.562   
3u9q_386     0.918   
3u9q_407     10000.000
3u9q_416     10000.000
3u9q_421     10000.000
3u9q_426     10000.000
3u9q_451     10000.000
3u9q_458     10000.000
3u9q_476     10000.000
3u9q_477     10000.000
3u9q_480     10000.000
3u9q_509     10000.000
3u9q_53      10000.000
3u9q_539     10000.000
3u9q_540     10000.000
3u9q_546     10000.000
3u9q_559     10000.000
3u9q_562     1.588   
3u9q_576     10000.000
3u9q_602     10000.000
3u9q_606     10000.000
3u9q_619     10000.000
3u9q_621     10000.000
3u9q_623     10000.000
3u9q_629     10000.000
3u9q_630     10000.000
3u9q_633     10000.000
3u9q_639     10000.000
3u9q_640     10000.000
3u9q_645     10000.000
3u9q_656     10000.000
3u9q_658     10000.000
3u9q_663     10000.000
3u9q_669     10000.000
3u9q_680     10000.000
3u9q_682     10000.000
3u9q_696     10000.000
3u9q_750     -0.260  
3u9q_753     1.034   
3u9q_756     0.044   
3u9q_760     1.696   
3u9q_773     -0.373  
3u9q_778     0.531   
3u9q_783     0.460   
3u9q_784     0.372   
3u9q_788     0.361   
3u9q_793     1.678   
3u9q_794     1.897   
3u9q_810     -0.879  
3u9q_860     0.648   
3u9q_867     0.620   
3u9q_877     0.083   
3u9q_883     0.850   
3u9q_890     0.860   
3u9q_91      0.615   
3u9q_938     0.727   
3u9q_971     0.420   
3u9q_ligand  1.187   
