#code        score   
4j21_119     10000.000
4j21_18      -7.783  
4j21_190     -8.709  
4j21_270     -9.270  
4j21_30      -10.129 
4j21_352     -9.285  
4j21_37      -7.315  
4j21_375     10000.000
4j21_393     -8.228  
4j21_428     10000.000
4j21_430     10000.000
4j21_438     10000.000
4j21_442     10000.000
4j21_444     10000.000
4j21_447     10000.000
4j21_453     10000.000
4j21_456     10000.000
4j21_462     -7.600  
4j21_463     10000.000
4j21_471     10000.000
4j21_475     10000.000
4j21_478     10000.000
4j21_479     10000.000
4j21_483     10000.000
4j21_485     10000.000
4j21_489     10000.000
4j21_490     10000.000
4j21_493     10000.000
4j21_499     10000.000
4j21_50      -9.635  
4j21_514     10000.000
4j21_524     10000.000
4j21_535     10000.000
4j21_540     10000.000
4j21_553     10000.000
4j21_559     10000.000
4j21_569     -3.714  
4j21_572     10000.000
4j21_574     10000.000
4j21_575     10000.000
4j21_577     10000.000
4j21_582     10000.000
4j21_594     10000.000
4j21_597     10000.000
4j21_620     10000.000
4j21_625     10000.000
4j21_627     10000.000
4j21_645     -6.070  
4j21_678     10000.000
4j21_680     10000.000
4j21_686     10000.000
4j21_688     10000.000
4j21_730     10000.000
4j21_731     -5.691  
4j21_734     -4.973  
4j21_735     -4.213  
4j21_736     -4.499  
4j21_740     -3.729  
4j21_741     -4.449  
4j21_751     -3.066  
4j21_752     10000.000
4j21_753     -5.134  
4j21_754     -4.476  
4j21_755     10000.000
4j21_756     -5.122  
4j21_757     -5.110  
4j21_761     -5.036  
4j21_762     10000.000
4j21_763     10000.000
4j21_765     -2.777  
4j21_767     10000.000
4j21_768     10000.000
4j21_770     10000.000
4j21_771     -2.725  
4j21_774     10000.000
4j21_775     -4.092  
4j21_780     10000.000
4j21_804     10000.000
4j21_827     -5.195  
4j21_830     -4.699  
4j21_839     -4.135  
4j21_842     -4.461  
4j21_846     -3.972  
4j21_848     -4.552  
4j21_849     -4.169  
4j21_856     -3.871  
4j21_86      -7.787  
4j21_869     -4.503  
4j21_876     -4.996  
4j21_952     -4.924  
4j21_955     10000.000
4j21_967     -5.374  
4j21_ligand  -10.110 
