#code        score   
4j3l_115     -9.467  
4j3l_140     -8.153  
4j3l_202     -7.813  
4j3l_286     -7.216  
4j3l_348     -9.158  
4j3l_352     -9.971  
4j3l_404     10000.000
4j3l_413     10000.000
4j3l_422     10000.000
4j3l_433     10000.000
4j3l_435     10000.000
4j3l_440     10000.000
4j3l_446     10000.000
4j3l_449     10000.000
4j3l_455     10000.000
4j3l_468     10000.000
4j3l_473     10000.000
4j3l_475     10000.000
4j3l_479     10000.000
4j3l_485     10000.000
4j3l_489     10000.000
4j3l_490     10000.000
4j3l_523     10000.000
4j3l_536     10000.000
4j3l_547     10000.000
4j3l_561     10000.000
4j3l_574     10000.000
4j3l_585     10000.000
4j3l_597     10000.000
4j3l_620     10000.000
4j3l_632     10000.000
4j3l_635     10000.000
4j3l_636     10000.000
4j3l_647     10000.000
4j3l_650     10000.000
4j3l_656     10000.000
4j3l_662     10000.000
4j3l_673     10000.000
4j3l_677     10000.000
4j3l_684     10000.000
4j3l_696     10000.000
4j3l_699     10000.000
4j3l_700     10000.000
4j3l_732     -8.064  
4j3l_733     -8.900  
4j3l_739     -8.157  
4j3l_746     -8.260  
4j3l_749     -8.370  
4j3l_755     -7.882  
4j3l_761     -8.710  
4j3l_774     -5.979  
4j3l_775     -6.129  
4j3l_776     -6.225  
4j3l_777     -5.598  
4j3l_782     -5.412  
4j3l_784     -5.626  
4j3l_786     -5.332  
4j3l_793     -6.516  
4j3l_858     -8.511  
4j3l_871     -8.225  
4j3l_888     -8.205  
4j3l_991     -8.787  
4j3l_ligand  -10.312 
