#code        score   
4qac_109     -9.571  
4qac_114     10000.000
4qac_115     -10.221 
4qac_116     10000.000
4qac_136     10000.000
4qac_144     -10.539 
4qac_194     -9.179  
4qac_232     10000.000
4qac_353     -6.824  
4qac_372     10000.000
4qac_406     10000.000
4qac_410     10000.000
4qac_411     10000.000
4qac_419     10000.000
4qac_424     10000.000
4qac_441     10000.000
4qac_444     10000.000
4qac_447     10000.000
4qac_450     10000.000
4qac_456     10000.000
4qac_466     10000.000
4qac_471     10000.000
4qac_476     10000.000
4qac_481     10000.000
4qac_484     10000.000
4qac_486     10000.000
4qac_489     10000.000
4qac_497     10000.000
4qac_499     10000.000
4qac_50      -9.609  
4qac_501     10000.000
4qac_502     10000.000
4qac_507     10000.000
4qac_509     10000.000
4qac_512     10000.000
4qac_513     10000.000
4qac_518     10000.000
4qac_538     10000.000
4qac_539     10000.000
4qac_550     10000.000
4qac_553     10000.000
4qac_557     10000.000
4qac_563     10000.000
4qac_565     10000.000
4qac_567     10000.000
4qac_569     10000.000
4qac_581     10000.000
4qac_588     10000.000
4qac_593     10000.000
4qac_600     10000.000
4qac_634     10000.000
4qac_635     10000.000
4qac_659     10000.000
4qac_673     10000.000
4qac_683     10000.000
4qac_689     10000.000
4qac_692     10000.000
4qac_702     -8.213  
4qac_711     10000.000
4qac_718     10000.000
4qac_722     -5.846  
4qac_739     10000.000
4qac_745     10000.000
4qac_755     -4.400  
4qac_764     10000.000
4qac_769     10000.000
4qac_770     10000.000
4qac_772     10000.000
4qac_773     10000.000
4qac_777     10000.000
4qac_780     10000.000
4qac_781     10000.000
4qac_782     10000.000
4qac_786     10000.000
4qac_787     10000.000
4qac_789     10000.000
4qac_791     10000.000
4qac_793     10000.000
4qac_795     10000.000
4qac_800     -6.473  
4qac_813     -5.021  
4qac_824     -6.215  
4qac_828     10000.000
4qac_849     -5.357  
4qac_871     -4.179  
4qac_875     -4.479  
4qac_883     10000.000
4qac_888     -4.035  
4qac_893     10000.000
4qac_945     -8.417  
4qac_962     -4.629  
4qac_969     -3.985  
4qac_975     -6.354  
4qac_ligand  -9.852  
