#code        score   
1eby_169     10000.000
1eby_211     10000.000
1eby_217     10000.000
1eby_218     -6.321  
1eby_223     10000.000
1eby_231     10000.000
1eby_233     -7.756  
1eby_237     10000.000
1eby_238     10000.000
1eby_244     10000.000
1eby_245     10000.000
1eby_255     -7.619  
1eby_259     10000.000
1eby_262     10000.000
1eby_265     -10.185 
1eby_266     10000.000
1eby_269     10000.000
1eby_271     10000.000
1eby_279     10000.000
1eby_294     10000.000
1eby_295     10000.000
1eby_297     10000.000
1eby_299     -9.812  
1eby_326     10000.000
1eby_350     10000.000
1eby_361     10000.000
1eby_364     -10.080 
1eby_372     10000.000
1eby_414     10000.000
1eby_416     10000.000
1eby_444     10000.000
1eby_447     10000.000
1eby_453     10000.000
1eby_456     10000.000
1eby_464     10000.000
1eby_470     10000.000
1eby_472     10000.000
1eby_473     10000.000
1eby_477     10000.000
1eby_481     10000.000
1eby_488     10000.000
1eby_490     10000.000
1eby_493     10000.000
1eby_499     10000.000
1eby_503     10000.000
1eby_507     10000.000
1eby_514     10000.000
1eby_517     10000.000
1eby_519     10000.000
1eby_531     10000.000
1eby_532     10000.000
1eby_535     10000.000
1eby_538     10000.000
1eby_540     10000.000
1eby_548     10000.000
1eby_556     10000.000
1eby_563     10000.000
1eby_569     10000.000
1eby_571     10000.000
1eby_572     10000.000
1eby_573     10000.000
1eby_575     10000.000
1eby_576     10000.000
1eby_580     10000.000
1eby_582     10000.000
1eby_584     10000.000
1eby_595     10000.000
1eby_597     10000.000
1eby_600     10000.000
1eby_634     10000.000
1eby_641     10000.000
1eby_645     10000.000
1eby_647     10000.000
1eby_649     10000.000
1eby_658     10000.000
1eby_659     10000.000
1eby_667     10000.000
1eby_673     10000.000
1eby_688     10000.000
1eby_689     10000.000
1eby_694     10000.000
1eby_731     10000.000
1eby_741     10000.000
1eby_751     10000.000
1eby_763     10000.000
1eby_767     10000.000
1eby_769     10000.000
1eby_770     10000.000
1eby_771     -5.202  
1eby_772     10000.000
1eby_773     10000.000
1eby_774     10000.000
1eby_777     -3.189  
1eby_779     10000.000
1eby_791     10000.000
1eby_792     10000.000
1eby_803     -8.641  
1eby_813     10000.000
1eby_826     10000.000
1eby_848     -8.204  
1eby_ligand  -12.267 
