#code        score   
1h22_1       -7.075  
1h22_12      10000.000
1h22_140     -9.573  
1h22_156     -11.394 
1h22_186     10000.000
1h22_187     -14.381 
1h22_197     10000.000
1h22_212     -11.522 
1h22_225     -3.905  
1h22_231     -12.828 
1h22_238     -9.389  
1h22_241     -12.895 
1h22_261     10000.000
1h22_267     -6.591  
1h22_276     10000.000
1h22_288     -12.040 
1h22_291     10000.000
1h22_292     10000.000
1h22_300     -10.229 
1h22_311     -9.931  
1h22_313     -9.965  
1h22_319     -10.273 
1h22_346     -15.999 
1h22_354     -15.985 
1h22_363     -16.734 
1h22_384     -16.998 
1h22_393     10000.000
1h22_4       -14.568 
1h22_403     10000.000
1h22_423     10000.000
1h22_442     10000.000
1h22_448     10000.000
1h22_464     10000.000
1h22_471     10000.000
1h22_477     10000.000
1h22_494     10000.000
1h22_506     10000.000
1h22_512     10000.000
1h22_527     10000.000
1h22_535     10000.000
1h22_540     10000.000
1h22_543     10000.000
1h22_565     10000.000
1h22_569     10000.000
1h22_573     10000.000
1h22_590     10000.000
1h22_595     10000.000
1h22_596     10000.000
1h22_606     10000.000
1h22_651     10000.000
1h22_653     10000.000
1h22_679     10000.000
1h22_685     10000.000
1h22_692     10000.000
1h22_716     -9.382  
1h22_722     -15.904 
1h22_738     -13.702 
1h22_75      10000.000
1h22_772     10000.000
1h22_774     10000.000
1h22_777     10000.000
1h22_783     10000.000
1h22_786     10000.000
1h22_788     10000.000
1h22_812     -18.371 
1h22_828     -8.343  
1h22_852     -20.174 
1h22_864     -13.191 
1h22_89      -7.974  
1h22_918     -19.640 
1h22_95      -15.789 
1h22_957     10000.000
1h22_ligand  -16.027 
