#code        score   
2hb1_102     -6.897  
2hb1_134     -7.339  
2hb1_148     10000.000
2hb1_149     -7.124  
2hb1_167     -4.229  
2hb1_175     -7.499  
2hb1_313     -7.408  
2hb1_330     -7.187  
2hb1_376     -6.984  
2hb1_408     -4.263  
2hb1_417     10000.000
2hb1_424     10000.000
2hb1_427     10000.000
2hb1_438     10000.000
2hb1_440     5.159   
2hb1_447     10000.000
2hb1_448     10000.000
2hb1_457     10000.000
2hb1_463     10000.000
2hb1_477     -2.633  
2hb1_480     10000.000
2hb1_485     10000.000
2hb1_495     10000.000
2hb1_504     10000.000
2hb1_559     10000.000
2hb1_562     10000.000
2hb1_573     10000.000
2hb1_574     10000.000
2hb1_613     10000.000
2hb1_640     -4.223  
2hb1_642     10000.000
2hb1_664     10000.000
2hb1_666     10000.000
2hb1_675     10000.000
2hb1_689     10000.000
2hb1_690     10000.000
2hb1_695     10000.000
2hb1_763     10000.000
2hb1_772     -0.616  
2hb1_785     -3.174  
2hb1_981     -6.858  
2hb1_ligand  -7.328  
