#code        score   
3gy4_121     -4.090  
3gy4_14      -5.920  
3gy4_184     -8.084  
3gy4_236     -7.014  
3gy4_251     10000.000
3gy4_259     -2.846  
3gy4_269     -6.379  
3gy4_284     -6.391  
3gy4_39      -7.275  
3gy4_413     10000.000
3gy4_415     10000.000
3gy4_423     10000.000
3gy4_424     10000.000
3gy4_430     10000.000
3gy4_437     10000.000
3gy4_452     10000.000
3gy4_460     -5.486  
3gy4_466     10000.000
3gy4_483     10000.000
3gy4_496     -3.024  
3gy4_497     10000.000
3gy4_517     10000.000
3gy4_525     10000.000
3gy4_528     -1.987  
3gy4_531     -2.012  
3gy4_54      -6.563  
3gy4_550     10000.000
3gy4_557     10000.000
3gy4_561     10000.000
3gy4_565     10000.000
3gy4_570     10000.000
3gy4_573     1.911   
3gy4_590     10000.000
3gy4_591     10000.000
3gy4_593     10000.000
3gy4_596     10000.000
3gy4_598     10000.000
3gy4_599     -3.242  
3gy4_633     10000.000
3gy4_638     10000.000
3gy4_643     10000.000
3gy4_648     10000.000
3gy4_669     10000.000
3gy4_685     10000.000
3gy4_686     10000.000
3gy4_ligand  -7.914  
