#code        score   
2zb1_105     29.60   
2zb1_16      45.50   
2zb1_203     53.27   
2zb1_206     47.10   
2zb1_329     50.21   
2zb1_423     -26.94  
2zb1_425     -58.06  
2zb1_426     19.51   
2zb1_461     -62.84  
2zb1_469     0.47    
2zb1_475     -55.21  
2zb1_476     29.28   
2zb1_479     -120.06 
2zb1_485     18.85   
2zb1_487     -151.00 
2zb1_488     -39.97  
2zb1_494     -230.92 
2zb1_510     -7.54   
2zb1_515     -0.36   
2zb1_533     -142.81 
2zb1_541     -206.69 
2zb1_549     -152.81 
2zb1_55      38.13   
2zb1_565     -32.30  
2zb1_568     5.27    
2zb1_570     -19.00  
2zb1_573     -112.29 
2zb1_576     -44.48  
2zb1_577     -195.60 
2zb1_578     -168.33 
2zb1_580     -107.73 
2zb1_581     -154.47 
2zb1_582     -1.86   
2zb1_585     -219.14 
2zb1_588     -35.66  
2zb1_590     -263.88 
2zb1_593     -141.65 
2zb1_597     -1.27   
2zb1_599     -56.03  
2zb1_622     -134.85 
2zb1_626     -91.46  
2zb1_636     -47.17  
2zb1_639     -153.63 
2zb1_645     -133.91 
2zb1_651     -11.33  
2zb1_658     -58.67  
2zb1_660     -200.59 
2zb1_663     -52.57  
2zb1_665     -43.71  
2zb1_667     -51.28  
2zb1_669     -27.29  
2zb1_672     -10.38  
2zb1_673     -178.39 
2zb1_678     -74.89  
2zb1_680     -37.81  
2zb1_683     -138.10 
2zb1_686     13.15   
2zb1_688     -41.61  
2zb1_689     19.65   
2zb1_699     -152.01 
2zb1_726     53.90   
2zb1_741     38.65   
2zb1_742     42.18   
2zb1_744     38.00   
2zb1_745     41.89   
2zb1_760     24.67   
2zb1_761     31.84   
2zb1_763     34.97   
2zb1_821     57.09   
2zb1_85      46.00   
2zb1_875     47.02   
2zb1_963     56.32   
2zb1_98      30.82   
2zb1_ligand  48.06   
