#code        score   
3d4z_12      49.62   
3d4z_128     16.53   
3d4z_132     34.82   
3d4z_233     40.18   
3d4z_250     48.90   
3d4z_331     17.47   
3d4z_340     30.00   
3d4z_376     33.77   
3d4z_403     8.38    
3d4z_410     -6.78   
3d4z_415     -118.92 
3d4z_434     -20.03  
3d4z_435     -1.64   
3d4z_447     -19.64  
3d4z_486     -49.86  
3d4z_528     -41.37  
3d4z_540     0.65    
3d4z_559     -3.80   
3d4z_563     -8.65   
3d4z_564     -4.17   
3d4z_580     -47.95  
3d4z_593     10.09   
3d4z_614     -10.54  
3d4z_618     -11.67  
3d4z_621     -13.33  
3d4z_622     0.92    
3d4z_623     2.95    
3d4z_624     -8.34   
3d4z_627     1.57    
3d4z_633     14.71   
3d4z_638     -43.16  
3d4z_647     0.07    
3d4z_652     -2.46   
3d4z_654     -2.28   
3d4z_656     5.61    
3d4z_658     9.74    
3d4z_659     -2.91   
3d4z_673     -10.67  
3d4z_675     -12.96  
3d4z_682     13.58   
3d4z_689     4.18    
3d4z_694     1.67    
3d4z_703     24.43   
3d4z_713     26.12   
3d4z_729     28.49   
3d4z_741     13.61   
3d4z_743     35.46   
3d4z_745     12.66   
3d4z_746     18.47   
3d4z_760     22.99   
3d4z_761     22.24   
3d4z_768     3.64    
3d4z_770     7.90    
3d4z_780     11.69   
3d4z_784     6.97    
3d4z_786     7.77    
3d4z_787     21.38   
3d4z_788     18.64   
3d4z_790     11.67   
3d4z_791     -2.87   
3d4z_794     5.89    
3d4z_795     6.18    
3d4z_797     -1.42   
3d4z_804     22.48   
3d4z_840     34.23   
3d4z_889     22.23   
3d4z_932     30.20   
3d4z_955     30.99   
3d4z_ligand  15.08   
