#code        score   
3u5j_124     6.59    
3u5j_143     31.02   
3u5j_147     20.54   
3u5j_174     23.73   
3u5j_195     31.44   
3u5j_20      19.98   
3u5j_203     43.05   
3u5j_213     47.24   
3u5j_233     46.03   
3u5j_24      20.57   
3u5j_251     45.13   
3u5j_257     46.87   
3u5j_268     44.53   
3u5j_290     45.90   
3u5j_294     44.76   
3u5j_419     -119.91 
3u5j_421     -77.56  
3u5j_434     -57.18  
3u5j_439     -248.86 
3u5j_458     -120.34 
3u5j_47      28.64   
3u5j_475     -35.59  
3u5j_481     -35.89  
3u5j_482     -171.70 
3u5j_491     -75.53  
3u5j_493     -49.65  
3u5j_497     -45.55  
3u5j_498     -132.74 
3u5j_505     30.68   
3u5j_526     26.53   
3u5j_536     0.01    
3u5j_54      23.88   
3u5j_557     -54.82  
3u5j_561     16.48   
3u5j_563     -54.74  
3u5j_566     -36.61  
3u5j_574     -5.53   
3u5j_576     5.39    
3u5j_578     -63.67  
3u5j_580     -53.94  
3u5j_584     -38.82  
3u5j_589     -23.73  
3u5j_591     -12.65  
3u5j_593     -69.67  
3u5j_603     -45.22  
3u5j_62      32.52   
3u5j_620     16.60   
3u5j_639     27.66   
3u5j_65      29.77   
3u5j_690     -43.14  
3u5j_710     34.80   
3u5j_723     21.45   
3u5j_728     27.63   
3u5j_731     27.95   
3u5j_733     24.07   
3u5j_736     26.31   
3u5j_746     25.06   
3u5j_756     20.67   
3u5j_757     17.29   
3u5j_759     15.68   
3u5j_764     21.33   
3u5j_773     21.48   
3u5j_803     32.70   
3u5j_830     36.06   
3u5j_845     24.35   
3u5j_858     24.88   
3u5j_894     43.89   
3u5j_928     42.86   
3u5j_968     27.79   
3u5j_972     27.27   
3u5j_974     25.21   
3u5j_ligand  35.79   
