#code        score   
4de1_105     16.68   
4de1_110     13.10   
4de1_127     18.22   
4de1_14      9.97    
4de1_142     11.18   
4de1_150     3.80    
4de1_176     3.55    
4de1_190     31.67   
4de1_191     4.19    
4de1_195     21.34   
4de1_196     -36.95  
4de1_199     6.36    
4de1_203     29.71   
4de1_215     41.50   
4de1_237     29.13   
4de1_25      15.98   
4de1_275     39.03   
4de1_277     23.95   
4de1_289     41.14   
4de1_292     45.00   
4de1_309     7.60    
4de1_317     25.76   
4de1_340     4.84    
4de1_366     27.45   
4de1_370     11.45   
4de1_405     -78.48  
4de1_407     -32.11  
4de1_408     4.14    
4de1_412     -65.41  
4de1_424     24.27   
4de1_425     -94.63  
4de1_426     13.89   
4de1_431     -121.45 
4de1_432     -14.17  
4de1_433     -5.25   
4de1_436     -37.94  
4de1_438     -2.81   
4de1_440     -162.73 
4de1_458     -55.92  
4de1_460     -166.78 
4de1_466     -115.33 
4de1_474     -71.49  
4de1_482     -59.60  
4de1_484     -15.84  
4de1_487     -7.39   
4de1_491     -6.16   
4de1_509     -89.72  
4de1_514     -8.52   
4de1_519     -53.22  
4de1_521     -7.71   
4de1_531     -20.30  
4de1_538     -6.92   
4de1_541     -36.42  
4de1_545     -24.17  
4de1_550     19.30   
4de1_552     -19.77  
4de1_553     15.13   
4de1_558     -26.06  
4de1_564     -44.21  
4de1_567     -20.83  
4de1_575     -78.82  
4de1_579     -14.23  
4de1_581     19.75   
4de1_582     -166.05 
4de1_586     -48.89  
4de1_590     9.84    
4de1_593     -46.94  
4de1_596     -13.75  
4de1_598     -57.63  
4de1_620     2.55    
4de1_633     -5.15   
4de1_636     -8.24   
4de1_659     -3.71   
4de1_661     -26.07  
4de1_664     -34.27  
4de1_667     16.84   
4de1_674     5.49    
4de1_675     12.57   
4de1_676     -18.86  
4de1_682     -54.68  
4de1_697     -19.63  
4de1_699     10.16   
4de1_711     34.62   
4de1_715     26.28   
4de1_728     30.56   
4de1_733     27.58   
4de1_738     23.53   
4de1_742     24.02   
4de1_744     25.63   
4de1_745     27.53   
4de1_748     23.69   
4de1_749     21.91   
4de1_750     23.55   
4de1_753     23.72   
4de1_755     21.08   
4de1_759     19.57   
4de1_761     23.79   
4de1_811     29.20   
4de1_84      -3.27   
4de1_88      24.18   
4de1_ligand  32.28   
