#code        score   
4ih5_140     0.52    
4ih5_148     25.17   
4ih5_159     16.60   
4ih5_161     18.05   
4ih5_168     -8.84   
4ih5_169     18.57   
4ih5_192     -4.07   
4ih5_202     32.02   
4ih5_219     35.69   
4ih5_227     35.52   
4ih5_281     31.04   
4ih5_302     21.32   
4ih5_306     26.35   
4ih5_327     26.30   
4ih5_341     18.63   
4ih5_367     28.56   
4ih5_374     26.76   
4ih5_381     26.66   
4ih5_384     21.35   
4ih5_390     0.03    
4ih5_397     25.44   
4ih5_400     23.85   
4ih5_417     9.16    
4ih5_421     -38.16  
4ih5_427     -1.26   
4ih5_428     5.81    
4ih5_432     6.46    
4ih5_433     -1.33   
4ih5_448     7.98    
4ih5_451     -47.74  
4ih5_454     -55.10  
4ih5_459     -74.65  
4ih5_463     7.55    
4ih5_465     -9.84   
4ih5_467     -2.75   
4ih5_482     6.95    
4ih5_492     -12.17  
4ih5_5       15.91   
4ih5_502     5.06    
4ih5_508     -5.82   
4ih5_516     -5.84   
4ih5_543     -4.68   
4ih5_546     -30.43  
4ih5_560     -6.57   
4ih5_562     -6.01   
4ih5_566     -1.57   
4ih5_57      21.39   
4ih5_581     -21.55  
4ih5_587     7.16    
4ih5_612     -224.14 
4ih5_638     -46.61  
4ih5_651     -33.72  
4ih5_674     -43.54  
4ih5_681     1.09    
4ih5_689     -5.89   
4ih5_690     -37.32  
4ih5_708     24.95   
4ih5_715     22.35   
4ih5_720     25.68   
4ih5_729     26.70   
4ih5_762     23.48   
4ih5_764     23.97   
4ih5_765     19.47   
4ih5_779     32.34   
4ih5_782     20.63   
4ih5_789     11.46   
4ih5_793     15.19   
4ih5_794     16.30   
4ih5_867     20.31   
4ih5_892     18.63   
4ih5_966     28.66   
4ih5_983     24.00   
4ih5_ligand  21.03   
