#code        score   
4lzs_1       21.42   
4lzs_154     22.94   
4lzs_203     39.22   
4lzs_224     33.82   
4lzs_38      24.08   
4lzs_391     4.52    
4lzs_415     -5.03   
4lzs_430     -4.83   
4lzs_442     -61.35  
4lzs_446     -74.79  
4lzs_454     -105.80 
4lzs_456     -85.38  
4lzs_465     -58.11  
4lzs_529     -66.37  
4lzs_533     -61.41  
4lzs_550     -47.88  
4lzs_560     -19.34  
4lzs_572     -33.74  
4lzs_586     -65.44  
4lzs_61      19.17   
4lzs_617     3.78    
4lzs_653     -23.37  
4lzs_693     -33.04  
4lzs_70      23.55   
4lzs_702     26.03   
4lzs_725     20.24   
4lzs_746     17.77   
4lzs_749     14.45   
4lzs_750     19.66   
4lzs_752     15.64   
4lzs_753     6.25    
4lzs_755     15.18   
4lzs_756     16.58   
4lzs_760     12.52   
4lzs_765     9.65    
4lzs_767     8.26    
4lzs_768     7.15    
4lzs_773     9.18    
4lzs_778     21.45   
4lzs_779     22.25   
4lzs_784     7.01    
4lzs_788     9.60    
4lzs_789     8.04    
4lzs_793     11.05   
4lzs_795     9.41    
4lzs_819     26.50   
4lzs_838     19.23   
4lzs_841     18.10   
4lzs_845     26.19   
4lzs_849     18.84   
4lzs_850     21.58   
4lzs_852     19.51   
4lzs_88      5.78    
4lzs_880     21.68   
4lzs_881     12.82   
4lzs_884     21.33   
4lzs_885     19.20   
4lzs_890     12.69   
4lzs_905     20.57   
4lzs_951     18.78   
4lzs_968     18.54   
4lzs_980     22.55   
4lzs_ligand  19.70   
