#code        score   
4m0z_402     21.42   
4m0z_41      56.68   
4m0z_415     48.87   
4m0z_436     26.59   
4m0z_439     22.25   
4m0z_443     -74.21  
4m0z_444     14.82   
4m0z_450     33.71   
4m0z_455     5.22    
4m0z_456     48.51   
4m0z_457     -13.91  
4m0z_462     30.26   
4m0z_473     47.88   
4m0z_477     -44.89  
4m0z_487     -3.37   
4m0z_492     -46.06  
4m0z_494     -66.35  
4m0z_501     40.55   
4m0z_505     63.49   
4m0z_508     48.31   
4m0z_516     65.16   
4m0z_517     -47.28  
4m0z_526     19.11   
4m0z_529     43.79   
4m0z_532     -17.84  
4m0z_539     35.37   
4m0z_552     -4.51   
4m0z_558     -26.74  
4m0z_560     -86.25  
4m0z_568     -68.21  
4m0z_571     -29.82  
4m0z_574     -44.00  
4m0z_575     -33.00  
4m0z_580     15.56   
4m0z_581     0.94    
4m0z_584     17.32   
4m0z_600     -54.94  
4m0z_601     7.54    
4m0z_603     39.90   
4m0z_614     32.88   
4m0z_615     43.87   
4m0z_626     41.51   
4m0z_633     29.81   
4m0z_634     10.02   
4m0z_640     9.06    
4m0z_641     -37.83  
4m0z_646     41.11   
4m0z_648     7.87    
4m0z_650     -19.96  
4m0z_662     -45.04  
4m0z_666     -17.03  
4m0z_669     11.93   
4m0z_678     -12.01  
4m0z_680     10.75   
4m0z_683     0.54    
4m0z_684     23.30   
4m0z_685     2.99    
4m0z_686     30.21   
4m0z_690     1.16    
4m0z_695     -17.51  
4m0z_696     8.63    
4m0z_697     -17.18  
4m0z_699     -1.73   
4m0z_700     -13.25  
4m0z_779     41.06   
4m0z_869     62.28   
4m0z_878     58.58   
4m0z_880     66.16   
4m0z_882     61.81   
4m0z_883     58.32   
4m0z_ligand  68.74   
