#code        score   
4qac_109     54.65   
4qac_114     57.94   
4qac_115     53.24   
4qac_116     45.08   
4qac_136     50.84   
4qac_144     54.35   
4qac_194     56.63   
4qac_232     65.80   
4qac_353     42.87   
4qac_372     55.74   
4qac_406     -94.22  
4qac_410     -52.70  
4qac_411     16.24   
4qac_419     -152.54 
4qac_424     -101.74 
4qac_441     -77.32  
4qac_444     -158.87 
4qac_447     -75.27  
4qac_450     -164.68 
4qac_456     -2.51   
4qac_466     -73.53  
4qac_471     -74.28  
4qac_476     -73.31  
4qac_481     28.42   
4qac_484     -54.86  
4qac_486     -49.68  
4qac_489     8.78    
4qac_497     -5.85   
4qac_499     -52.33  
4qac_50      50.59   
4qac_501     27.38   
4qac_502     23.04   
4qac_507     39.62   
4qac_509     26.26   
4qac_512     7.37    
4qac_513     -15.12  
4qac_518     17.15   
4qac_538     -7.36   
4qac_539     -11.36  
4qac_550     -32.41  
4qac_553     3.12    
4qac_557     0.51    
4qac_563     -33.93  
4qac_565     -5.80   
4qac_567     -86.27  
4qac_569     3.13    
4qac_581     0.75    
4qac_588     -2.68   
4qac_593     -50.53  
4qac_600     -93.75  
4qac_634     -21.29  
4qac_635     -2.93   
4qac_659     12.88   
4qac_673     -31.56  
4qac_683     -19.06  
4qac_689     19.20   
4qac_692     -38.41  
4qac_702     57.60   
4qac_711     50.94   
4qac_718     47.85   
4qac_722     38.66   
4qac_739     55.35   
4qac_745     48.47   
4qac_755     31.30   
4qac_764     43.82   
4qac_769     30.92   
4qac_770     39.28   
4qac_772     25.12   
4qac_773     33.94   
4qac_777     42.37   
4qac_780     31.42   
4qac_781     27.46   
4qac_782     39.40   
4qac_786     37.44   
4qac_787     27.40   
4qac_789     -2.49   
4qac_791     33.85   
4qac_793     -0.48   
4qac_795     -63.11  
4qac_800     56.85   
4qac_813     54.91   
4qac_824     54.26   
4qac_828     50.36   
4qac_849     48.91   
4qac_871     42.66   
4qac_875     38.22   
4qac_883     55.36   
4qac_888     43.60   
4qac_893     55.69   
4qac_945     61.37   
4qac_962     47.07   
4qac_969     45.01   
4qac_975     48.20   
4qac_ligand  55.35   
