#code        score   
5aba_220     21.95   
5aba_247     23.13   
5aba_261     20.90   
5aba_263     23.77   
5aba_284     25.26   
5aba_297     26.57   
5aba_36      -103.78 
5aba_38      -5.70   
5aba_40      -2748.82
5aba_408     -117.01 
5aba_410     -120.93 
5aba_412     -275.53 
5aba_455     -142.24 
5aba_460     -230.14 
5aba_47      -33.66  
5aba_470     -159.73 
5aba_472     -390.67 
5aba_490     -129.40 
5aba_492     -233.81 
5aba_5       9.30    
5aba_517     -48.03  
5aba_525     -130.30 
5aba_527     -42.94  
5aba_555     -72.88  
5aba_558     -132.95 
5aba_559     -254.73 
5aba_570     -15.65  
5aba_575     -166.32 
5aba_584     -185.30 
5aba_596     -107.36 
5aba_598     -117.51 
5aba_599     -14.56  
5aba_618     -52.19  
5aba_620     -60.67  
5aba_623     -22.32  
5aba_625     -69.11  
5aba_628     -103.64 
5aba_632     -54.07  
5aba_640     -44.14  
5aba_641     -22.36  
5aba_647     -103.21 
5aba_653     -59.27  
5aba_654     -94.71  
5aba_655     -24.77  
5aba_657     -110.57 
5aba_661     -114.21 
5aba_663     -151.21 
5aba_666     -95.90  
5aba_668     -132.35 
5aba_669     -25.43  
5aba_674     -188.53 
5aba_676     -307.46 
5aba_677     -144.27 
5aba_679     -148.84 
5aba_680     -69.26  
5aba_690     -101.35 
5aba_697     -107.60 
5aba_698     -8273.78
5aba_701     -9591.42
5aba_702     45.71   
5aba_703     46.93   
5aba_704     25.44   
5aba_71      19.16   
5aba_712     -1346.12
5aba_728     24.93   
5aba_749     26.81   
5aba_751     19.53   
5aba_760     -2728.98
5aba_772     35.08   
5aba_78      -50.48  
5aba_786     -5464.11
5aba_792     -2711.42
5aba_799     22.63   
5aba_820     -4088.06
5aba_850     19.92   
5aba_858     23.94   
5aba_859     18.72   
5aba_864     24.17   
5aba_865     -5467.00
5aba_880     -8211.52
5aba_882     -6836.21
5aba_898     41.04   
5aba_899     -2716.14
5aba_956     15.71   
5aba_96      1.67    
5aba_962     18.09   
5aba_966     -1335.92
5aba_ligand  -2757.41
