#code        score   
1h22_1       3       
1h22_12      4.97    
1h22_140     6.54    
1h22_156     6.93    
1h22_186     3       
1h22_187     7.57    
1h22_197     6.25    
1h22_212     6.46    
1h22_225     3.81    
1h22_231     4.07    
1h22_238     7.38    
1h22_241     7.23    
1h22_261     4.41    
1h22_267     3.26    
1h22_276     5.99    
1h22_288     3.74    
1h22_291     6.83    
1h22_292     2.37    
1h22_300     4.84    
1h22_311     3.27    
1h22_313     3.61    
1h22_319     2.72    
1h22_346     6.12    
1h22_354     3.94    
1h22_363     4.83    
1h22_384     5.92    
1h22_393     3.57    
1h22_4       3.54    
1h22_403     3.67    
1h22_423     5.17    
1h22_442     4.19    
1h22_448     3.44    
1h22_464     2.92    
1h22_471     4.51    
1h22_477     5.33    
1h22_494     5.37    
1h22_506     5.26    
1h22_512     3.19    
1h22_527     5.45    
1h22_535     1.78    
1h22_540     0.49    
1h22_543     2.76    
1h22_565     1.04    
1h22_569     2.54    
1h22_573     3.46    
1h22_590     2.24    
1h22_595     5.46    
1h22_596     0.17    
1h22_606     4.28    
1h22_651     2.99    
1h22_653     5.34    
1h22_679     4.11    
1h22_685     2.55    
1h22_692     4.42    
1h22_716     8.84    
1h22_722     7.38    
1h22_738     8.42    
1h22_75      2.99    
1h22_772     13.04   
1h22_774     10.38   
1h22_777     10.25   
1h22_783     12.47   
1h22_786     14.27   
1h22_788     10.18   
1h22_812     9.82    
1h22_828     10.77   
1h22_852     9.15    
1h22_864     8.98    
1h22_89      3.43    
1h22_918     9.86    
1h22_95      4.94    
1h22_957     13.2    
1h22_ligand  5.9     
