#code        score   
3uuo_14      3.4     
3uuo_181     3.97    
3uuo_187     4.09    
3uuo_212     2.7     
3uuo_247     3.95    
3uuo_249     4.82    
3uuo_267     5.01    
3uuo_269     2.17    
3uuo_274     3.51    
3uuo_420     1.07    
3uuo_430     0.29    
3uuo_440     1.27    
3uuo_447     0.12    
3uuo_456     0.18    
3uuo_471     2.33    
3uuo_497     1.99    
3uuo_503     0.82    
3uuo_522     1.29    
3uuo_523     1.05    
3uuo_525     1.28    
3uuo_526     0.16    
3uuo_528     0.19    
3uuo_543     0.21    
3uuo_546     0.47    
3uuo_550     2.58    
3uuo_556     -0.03   
3uuo_567     0.64    
3uuo_568     1.49    
3uuo_571     1.06    
3uuo_582     3.21    
3uuo_588     0.72    
3uuo_590     0.99    
3uuo_593     0.03    
3uuo_607     0.35    
3uuo_609     2.56    
3uuo_614     3.14    
3uuo_619     3.06    
3uuo_625     1.22    
3uuo_628     1.41    
3uuo_635     -1.5    
3uuo_636     0.31    
3uuo_645     0.94    
3uuo_668     1.13    
3uuo_669     1.97    
3uuo_674     0.5     
3uuo_677     2.16    
3uuo_695     4.05    
3uuo_7       3.45    
3uuo_709     4.15    
3uuo_711     3.77    
3uuo_712     3.46    
3uuo_721     3.39    
3uuo_724     4.09    
3uuo_726     3.66    
3uuo_734     2.42    
3uuo_739     4.56    
3uuo_744     3.33    
3uuo_752     1.92    
3uuo_757     5.04    
3uuo_759     1.27    
3uuo_772     3.45    
3uuo_777     3.48    
3uuo_781     0.5     
3uuo_783     2.1     
3uuo_799     2.26    
3uuo_815     3.28    
3uuo_842     2.39    
3uuo_843     2.71    
3uuo_849     2.21    
3uuo_850     3.67    
3uuo_865     2.07    
3uuo_871     2.44    
3uuo_881     3.75    
3uuo_888     3.28    
3uuo_889     2.07    
3uuo_890     1.74    
3uuo_892     5.37    
3uuo_943     2.95    
3uuo_952     3.61    
3uuo_968     3.31    
3uuo_981     2.77    
3uuo_982     2.88    
3uuo_ligand  2.93    
