#code        score   
4ih7_12      1.77    
4ih7_129     2.14    
4ih7_133     2.6     
4ih7_159     1.81    
4ih7_212     3.76    
4ih7_219     3.23    
4ih7_241     3.13    
4ih7_302     3.4     
4ih7_307     2.76    
4ih7_341     2.3     
4ih7_351     1.91    
4ih7_378     2.75    
4ih7_405     0.13    
4ih7_412     0.57    
4ih7_414     1.21    
4ih7_415     0.58    
4ih7_438     -0.13   
4ih7_459     1.82    
4ih7_461     -2.13   
4ih7_477     -0.14   
4ih7_481     3.16    
4ih7_483     0.03    
4ih7_501     1.9     
4ih7_504     2.54    
4ih7_519     -0.55   
4ih7_522     2.11    
4ih7_523     1.07    
4ih7_527     1.68    
4ih7_529     0.8     
4ih7_539     0.78    
4ih7_548     0.21    
4ih7_552     1.19    
4ih7_555     1.6     
4ih7_560     0.7     
4ih7_561     1.66    
4ih7_563     1.98    
4ih7_564     0.6     
4ih7_565     -0.51   
4ih7_567     -0.05   
4ih7_570     -0.62   
4ih7_572     0.17    
4ih7_577     1.02    
4ih7_583     -0.93   
4ih7_591     -1.01   
4ih7_596     0.36    
4ih7_597     0.52    
4ih7_598     -0.22   
4ih7_600     -0.91   
4ih7_632     2.47    
4ih7_645     1.6     
4ih7_650     1.6     
4ih7_661     2.77    
4ih7_671     2.09    
4ih7_704     3.35    
4ih7_72      2.72    
4ih7_729     3.17    
4ih7_734     2.44    
4ih7_739     2.38    
4ih7_742     2.01    
4ih7_743     1.98    
4ih7_748     2.47    
4ih7_749     1.63    
4ih7_755     2.18    
4ih7_760     2.62    
4ih7_777     1.04    
4ih7_788     0.62    
4ih7_789     0.71    
4ih7_794     1.32    
4ih7_796     3.4     
4ih7_822     3.19    
4ih7_829     2.64    
4ih7_877     2.62    
4ih7_880     2.03    
4ih7_885     1.97    
4ih7_937     3.75    
4ih7_940     3.62    
4ih7_980     2.1     
4ih7_ligand  3.59    
